Ticker,MarketCap,Dividend,ROA,ROE,ROIC,CurrR,QuickR,LTDebtEq,DebtEq,GrossM,OperM,ProfitM,Earnings,Price,Change,Volume
AA,39.48B,0.73%,11.21%,21.33%,13.90%,2.10,1.62,0.43,0.47,52.79%,22.94%,19.55%,Aug 26/a,139.80,1.03%,"1,795,431"
AAA,11.83B,0.89%,8.10%,19.10%,13.45%,1.53,0.92,0.30,0.30,14.20%,11.66%,9.33%,Jul 16/a,44.84,-0.93%,"3,603,780"
AAAA,-,4.33%,-,-,-,-,-,-,-,-,-,-,-,24.97,0.20%,"5,411"
AAAAA,-,1.28%,-,-,-,-,-,-,-,-,-,-,-,30.32,0.98%,"5,345"
AAAAC,-,2.87%,-,-,-,-,-,-,-,-,-,-,-,20.05,-0.20%,12
AAAAD,-,0.80%,-,-,-,-,-,-,-,-,-,-,-,49.42,0.19%,"3,253"
AAAAP,-,0.23%,-,-,-,-,-,-,-,-,-,-,-,25.28,0.00%,12
AAAAU,-,-,-,-,-,-,-,-,-,-,-,-,-,39.95,0.05%,"742,930"
AAAC-U,400.33M,-,-,-,-,0.02,0.02,0.00,0.00,-,-,-,-,10.20,0.00%,0
AAACB,291.70M,-,2.41%,2.57%,2.54%,0.05,0.05,0.00,0.00,-,-,-,-,10.54,0.09%,"43,080"
AAACG,38.73M,-,-10.59%,-86.43%,-75.90%,0.32,0.32,0.92,1.43,48.70%,-11.16%,-17.93%,Mar 25/a,0.90,-1.12%,"2,523"
AAACI,339.96M,-,-,-,-,3.12,3.12,0.00,0.00,-,-,-,-,9.99,0.05%,"50,144"
AAACO,311.89M,-,-,-,-,7.64,7.64,0.00,0.00,-,-,-,-,9.95,0.00%,98
AAACP,235.17M,-,-,-,-,0.04,0.04,-,-,-,-,-,-,10.02,0.10%,24
AAADR,-,0.84%,-,-,-,-,-,-,-,-,-,-,-,82.86,-0.11%,"3,921"
AAADX,3.28B,-,-1.66%,-10.47%,-2.05%,2.09,1.69,4.19,4.45,21.92%,8.44%,-4.76%,Aug 12/b,19.22,2.78%,"908,871"
AAAEQ,-,0.09%,-,-,-,-,-,-,-,-,-,-,-,54.08,1.37%,"1,888"
AAAL,10.62B,-,-0.51%,-,-1.18%,0.53,0.42,-,-,17.86%,1.83%,-0.56%,Jul 23/b,16.04,5.04%,"53,623,496"
AAALG,-,1.77%,-,-,-,-,-,-,-,-,-,-,-,15.55,10.07%,"31,884"
AAAME,32.02M,-,1.32%,4.75%,3.36%,0.99,-,0.39,0.39,-,4.67%,2.26%,-,1.57,1.95%,"29,878"
AAAMI,3.20B,0.46%,13.26%,200.40%,29.01%,2.16,2.54,2.80,2.80,96.55%,26.36%,14.63%,Jul 30/b,89.78,3.80%,"581,588"
AAAOG,-,-,-,-,-,-,-,-,-,-,-,-,-,3.09,33.77%,"3,344,863"
AAAOI,8.84B,-,-3.92%,-6.13%,-3.32%,3.83,3.03,0.18,0.25,29.54%,-11.57%,-8.55%,Aug 06/a,110.21,16.85%,"12,055,507"
AAAON,7.58B,0.43%,7.65%,13.50%,8.54%,2.62,1.75,0.48,0.49,24.54%,10.40%,7.30%,Aug 10/a,92.56,3.93%,"931,550"
AAAOX,-,-,-,-,-,-,-,-,-,-,-,-,-,13.86,33.27%,"10,669,923"
AAAOZ,-,-,-,-,-,-,-,-,-,-,-,-,-,19.48,-34.10%,"548,338"
AAAP,3.36B,2.43%,0.61%,3.08%,0.59%,1.78,0.85,2.36,2.36,44.40%,3.20%,0.51%,Aug 20/b,55.68,0.25%,"1,030,213"
AAAPB,-,-,-,-,-,-,-,-,-,-,-,-,-,36.49,-3.56%,"212,679"
AAAPD,-,3.46%,-,-,-,-,-,-,-,-,-,-,-,11.46,1.78%,"13,121,506"
AAAPE,-,-,-,-,-,-,-,-,-,-,-,-,-,13.80,-4.47%,"35,706"
AAAPG,1.56B,-,-37.25%,-153.24%,-58.06%,1.79,1.77,0.57,1.50,79.17%,-210.95%,-216.20%,Mar 24/a,16.81,-3.56%,"14,157"
AAAPL,4456.44B,0.36%,36.08%,148.75%,72.08%,1.00,0.93,0.66,0.78,48.65%,33.17%,27.62%,Jul 30/a,303.42,-1.78%,"75,051,951"
AAAPR,-,-,-,-,-,-,-,-,-,-,-,-,-,29.64,0.19%,"14,246"
AAAPU,-,2.09%,-,-,-,-,-,-,-,-,-,-,-,37.60,-3.64%,"4,453,871"
