Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
A,8.99%,17.75%,19.94%,-2.17%,-0.41%,14.24%,13.47%,-7.99%,207.14%,2.69%,3.09%,2.24M,0.90,135.51,2.95%,"2,004,081"
AA,-14.01%,-28.82%,-9.57%,-1.19%,-0.11%,88.43%,61.63%,48.27%,-,3.69%,4.81%,5.04M,1.12,53.08,1.49%,"5,659,023"
AAA,0.22%,0.24%,0.40%,0.38%,0.10%,-0.10%,1.58%,0.05%,-,0.45%,0.38%,11.28K,1.15,25.02,0.06%,"12,934"
AAAA,-0.51%,-1.33%,11.95%,9.33%,10.20%,-,-,-,-,0.37%,0.64%,4.30K,0.31,30.13,0.24%,"1,324"
AAAC,0.02%,-0.12%,0.20%,0.12%,0.05%,-,-,-,-,0.00%,0.00%,0.03K,0.12,20.07,0.00%,4
AAAD,0.31%,-,-,-,0.82%,-,-,-,-,0.04%,-,0.32K,0.01,50.34,0.11%,2
AAAP,-,-,-,-,-0.08%,-,-,-,-,-,-,512.89K,0.00,25.08,0.00%,0
AAAU,-4.98%,-10.77%,-11.23%,-9.43%,-6.75%,20.50%,108.57%,124.05%,-,1.35%,1.69%,1.94M,1.06,39.68,0.97%,"2,050,309"
AACB,-0.10%,0.48%,1.45%,1.84%,1.84%,3.96%,-,-,-,0.13%,0.24%,24.21K,8.36,10.49,0.08%,"202,422"
AACG,-3.00%,-18.49%,-3.96%,16.87%,22.74%,26.93%,-28.68%,-68.20%,81.07%,8.99%,7.95%,12.55K,0.51,0.97,0.52%,"6,427"
AACI,0.09%,0.19%,-,-,1.00%,-,-,-,-,0.08%,0.09%,35.88K,0.00,9.97,0.19%,1
AACO,-0.10%,-0.50%,-,-,-0.60%,-,-,-,-,0.01%,0.08%,21.56K,0.00,9.89,-0.10%,45
AACP,-0.35%,-,-,-,0.10%,-,-,-,-,0.10%,-,367.69K,0.05,9.96,0.03%,"17,560"
AADR,-2.56%,-6.79%,-0.37%,-6.18%,-5.62%,3.97%,66.49%,21.75%,116.79%,1.57%,1.29%,2.49K,0.75,81.40,1.43%,"1,863"
AADX,-7.32%,-,-,-,-1.37%,-,-,-,-,8.13%,-,3.03M,0.30,18.75,2.74%,"894,896"
AAEQ,-1.23%,-2.73%,10.90%,4.34%,5.48%,-,-,-,-,0.39%,0.26%,1.28K,0.10,52.03,-0.14%,127
AAL,13.94%,18.36%,63.59%,8.06%,14.61%,58.86%,8.06%,-20.93%,-35.05%,4.20%,4.26%,78.45M,2.59,17.57,0.75%,"203,358,448"
AALG,28.01%,35.00%,141.84%,-4.94%,9.19%,-,-,-,-,7.25%,7.22%,57.52K,0.93,19.35,1.01%,"53,362"
AAME,-5.08%,-22.22%,-33.33%,-43.05%,-40.64%,-18.84%,-20.38%,-60.56%,-57.89%,5.46%,5.95%,13.20K,2.41,1.68,-1.18%,"31,862"
AAMI,-15.66%,-7.56%,29.49%,44.93%,48.45%,109.46%,243.19%,191.56%,414.91%,5.08%,3.83%,426.15K,1.74,69.77,-0.87%,"741,309"
AAOG,-33.93%,-51.20%,-,-,-59.54%,-,-,-,-,25.30%,29.82%,922.52K,1.58,6.31,-10.75%,"1,454,132"
AAOI,-17.21%,-22.00%,21.09%,254.37%,297.42%,428.17%,3092.17%,1470.75%,1310.79%,11.56%,13.86%,12.73M,1.04,138.54,-5.74%,"13,193,141"
AAON,-0.07%,-5.57%,51.72%,77.49%,74.77%,83.18%,109.66%,227.26%,660.91%,4.55%,5.70%,1.07M,0.66,133.26,1.26%,"711,040"
AAOX,-33.90%,-51.29%,-18.10%,-,-18.88%,-,-,-,-,25.20%,30.26%,4.64M,1.62,28.14,-9.95%,"7,494,903"
AAP,1.89%,7.38%,12.27%,45.28%,50.64%,26.82%,-9.85%,-71.04%,-61.69%,5.32%,4.55%,1.77M,0.73,59.20,2.17%,"1,301,723"
AAPB,-14.94%,-22.21%,13.67%,-3.97%,-4.70%,63.58%,16.00%,-,-,5.04%,4.75%,92.26K,0.93,30.56,-13.01%,"85,804"
