Ticker,Beta,ATR,SMA20,SMA50,SMA200,52WHigh,52WLow,RSI,Price,Change,ChangefromOpen,Gap,Volume
AA,1.22,4.27,3.04%,7.84%,18.87%,-4.53%,44.29%,62.55,156.34,1.72%,0.22%,1.50%,"2,893,910"
AAA,1.73,2.00,-5.39%,-2.93%,-19.11%,-44.34%,52.45%,41.87,46.97,1.53%,-0.59%,2.14%,"2,560,388"
AAAA,0.03,0.09,0.06%,0.03%,-0.01%,-0.81%,1.24%,50.97,24.98,0.10%,0.10%,0.00%,"83,810"
AAAAA,0.89,0.19,-0.09%,0.35%,5.57%,-1.55%,17.62%,50.42,30.58,1.09%,0.07%,1.02%,756
AAAAC,-,0.01,0.03%,0.12%,0.24%,-0.37%,0.93%,57.92,20.10,0.02%,0.00%,0.02%,12
AAAAD,-,0.10,-0.75%,-1.30%,-1.62%,-2.99%,0.39%,35.28,48.91,0.39%,0.00%,0.39%,18
AAAAP,-,0.04,0.15%,0.37%,0.48%,-0.22%,1.54%,67.63,25.43,-0.04%,-0.10%,0.06%,"39,360"
AAAAU,0.18,0.84,-2.20%,1.50%,-4.20%,-21.73%,19.57%,48.51,42.82,1.66%,-0.46%,2.14%,"1,195,256"
AAAC,-,0.06,-0.07%,-0.07%,-0.07%,-1.18%,0.80%,-,10.08,-0.30%,0.10%,-0.40%,"204,674"
AAACG,1.11,0.07,-7.57%,-9.22%,-14.98%,-67.33%,14.01%,42.40,0.84,1.52%,1.52%,0.00%,"1,581"
AAACI,-,0.02,0.19%,0.61%,0.96%,-0.20%,3.18%,61.32,10.05,0.10%,0.10%,-0.00%,"1,148"
AAACO,-,0.01,0.60%,1.04%,1.03%,0.30%,1.83%,67.02,10.02,0.30%,0.30%,0.00%,78
AAACP,-,0.01,0.16%,0.59%,0.69%,0.00%,1.41%,65.07,10.07,0.00%,0.00%,0.00%,"100,070"
AAADR,0.94,0.99,0.38%,0.92%,-1.85%,-14.15%,8.71%,52.56,84.46,1.67%,1.67%,0.00%,"3,390"
AAADX,-,0.99,-3.09%,-23.47%,-28.63%,-47.61%,11.55%,38.65,12.70,0.08%,-3.35%,3.55%,"1,522,015"
AAAEQ,-,0.35,-0.03%,0.68%,6.36%,-1.68%,21.23%,51.28,54.57,1.29%,0.10%,1.19%,"1,023"
AAAL,1.38,0.47,-2.31%,-10.74%,-7.05%,-31.13%,28.25%,39.03,12.94,1.89%,-0.77%,2.68%,"84,313,032"
AAALG,2.64,0.68,-5.05%,-22.90%,-26.04%,-55.41%,39.19%,37.97,9.84,3.92%,-1.50%,5.50%,"46,315"
AAAME,0.82,0.08,4.19%,-4.37%,-36.40%,-59.54%,12.00%,51.79,1.40,3.70%,2.94%,0.74%,"14,190"
AAAMI,1.32,3.01,-1.65%,2.22%,35.37%,-8.10%,118.33%,50.08,90.54,1.49%,-0.70%,2.21%,"273,407"
AAAOG,-,0.52,-19.18%,-36.84%,-68.93%,-91.14%,31.29%,39.31,2.04,2.78%,-5.79%,9.09%,"3,341,477"
AAAOI,3.85,9.34,-8.44%,-13.21%,-6.33%,-58.03%,430.05%,41.46,98.06,1.36%,-2.65%,4.12%,"7,819,196"
AAAON,1.42,4.00,-1.02%,-14.47%,-21.96%,-49.20%,4.43%,40.78,76.43,1.15%,-3.55%,4.87%,"1,074,610"
AAAOX,-,2.33,-18.92%,-36.48%,-72.84%,-91.09%,32.28%,39.63,9.18,2.91%,-5.17%,8.52%,"10,156,371"
AAAOZ,-,2.61,12.21%,-18.35%,-18.35%,-70.29%,118.52%,49.91,15.16,-2.54%,6.05%,-8.10%,"768,146"
AAAP,1.07,2.12,-2.80%,-17.38%,-19.29%,-35.61%,10.79%,35.49,41.98,0.19%,-2.33%,2.58%,"1,248,076"
AAAPB,1.79,1.71,9.31%,9.52%,30.54%,-6.41%,78.41%,64.44,44.58,2.66%,0.97%,1.68%,"22,919"
AAAPD,-0.98,0.25,-4.72%,-5.31%,-17.11%,-32.08%,1.87%,34.40,10.33,-1.34%,-0.86%,-0.48%,"6,526,930"
AAAPE,-,0.60,9.27%,9.20%,9.34%,-6.39%,24.31%,64.22,16.78,2.83%,1.71%,1.10%,"8,043"
AAAPG,0.19,0.63,-8.93%,-14.17%,-31.81%,-62.03%,-0.19%,35.67,15.37,-0.19%,0.33%,-0.52%,"3,163"
AAAPL,1.06,7.41,4.85%,5.40%,17.80%,-2.20%,42.40%,65.39,337.00,1.38%,0.67%,0.71%,"36,700,225"
AAAPR,0.21,0.07,-0.08%,0.21%,2.22%,-0.47%,6.87%,51.03,29.73,0.30%,0.00%,0.30%,"4,206"
AAAPU,1.71,1.90,9.31%,9.31%,29.04%,-6.57%,74.35%,64.52,45.68,2.72%,1.43%,1.27%,"810,115"
AAAPW,0.97,1.00,4.71%,3.51%,7.91%,-6.21%,26.83%,60.95,41.88,1.72%,1.90%,-0.18%,"13,232"
AAAPX,1.41,1.58,9.27%,9.24%,28.51%,-6.41%,73.03%,64.14,41.18,2.87%,1.35%,1.50%,"43,436"
AAAPY,0.64,0.55,4.65%,4.52%,12.44%,-3.85%,31.76%,61.80,28.00,1.77%,1.12%,0.65%,"5,337"
AAARD,3.81,0.70,-5.29%,-11.84%,-28.99%,-69.18%,65.07%,46.72,5.53,7.38%,3.95%,3.30%,"258,076"
AAAT,0.97,0.38,-0.40%,-4.73%,5.17%,-14.79%,24.89%,45.23,22.13,1.56%,0.82%,0.73%,"754,659"
AAAUA,-,0.38,0.03%,0.73%,4.51%,-1.63%,24.29%,51.65,58.46,1.24%,0.36%,0.88%,"10,316"
AAAUB,-,0.37,0.40%,0.64%,0.64%,-1.73%,6.04%,54.30,51.02,1.28%,0.42%,0.86%,"1,119"
AAAUC,-0.35,0.95,-6.15%,-1.53%,-18.89%,-33.14%,47.47%,43.94,21.53,2.82%,-0.05%,2.87%,"336,215"
AAAUS,0.98,0.38,-0.02%,0.71%,6.68%,-1.84%,20.39%,51.42,61.31,1.31%,0.00%,1.31%,21
AAAVM,0.55,0.24,-0.51%,0.42%,4.24%,-2.24%,22.34%,49.18,34.23,1.12%,-0.12%,1.24%,376
AAAXJ,0.74,1.97,-0.48%,1.55%,8.34%,-7.11%,30.61%,50.60,116.01,1.84%,0.05%,1.79%,"414,916"
AAB,0.76,0.60,-0.98%,-2.05%,-5.57%,-18.14%,3.41%,44.45,36.11,1.72%,0.64%,1.07%,"323,090"
AABAT,1.33,0.16,-11.80%,-8.67%,-31.65%,-80.50%,12.00%,40.61,2.24,5.66%,3.23%,2.36%,"3,164,729"
AABBV,0.23,5.60,1.71%,3.51%,15.09%,-1.29%,38.41%,59.01,264.02,0.58%,0.54%,0.04%,"3,509,954"
AABCB,0.96,1.50,-2.35%,-5.06%,-0.16%,-10.96%,20.64%,34.32,83.00,-0.86%,-1.57%,0.72%,"591,696"
AABCL,1.44,0.76,10.73%,41.48%,133.72%,1.19%,363.75%,67.83,12.73,9.08%,4.77%,4.11%,"8,045,088"
AABCS,0.80,0.26,-2.51%,-1.96%,7.13%,-5.02%,21.96%,38.10,34.72,0.22%,-0.16%,0.38%,"2,021"
AABEO,1.30,0.28,-3.95%,-11.56%,1.05%,-26.93%,39.75%,40.68,5.59,4.10%,-1.76%,5.96%,"3,463,114"
AABEQ,0.44,0.23,-0.95%,0.24%,2.16%,-3.74%,12.45%,45.68,38.58,0.06%,-0.49%,0.55%,"54,331"
AABEV,0.61,0.07,0.78%,-0.17%,1.46%,-13.62%,41.90%,50.80,2.98,-0.33%,-1.00%,0.67%,"12,254,424"
AABFL,0.91,0.79,-1.14%,-2.23%,4.00%,-6.29%,26.10%,42.15,80.60,0.71%,-0.60%,1.32%,"10,037"
AABG,0.77,6.94,-10.41%,-12.69%,-12.14%,-27.38%,9.24%,26.92,187.91,-3.74%,-5.14%,1.48%,"288,839"
AABI,0.05,0.04,-0.45%,-0.71%,-1.10%,-2.05%,0.22%,32.89,24.58,0.16%,0.16%,0.00%,"83,482"
AABIG,0.95,0.27,-0.14%,-0.19%,6.40%,-4.14%,23.18%,49.15,34.97,1.13%,0.11%,1.01%,"22,474"
AABLD,0.81,0.32,-1.49%,1.36%,2.89%,-5.45%,15.69%,48.03,32.23,1.29%,0.19%,1.10%,"6,543"
AABLG,0.92,0.37,-1.34%,-0.93%,-2.28%,-7.67%,8.35%,45.61,31.01,1.59%,0.00%,1.59%,63
AABLS,0.68,0.23,-4.16%,-6.55%,0.37%,-11.85%,19.15%,32.42,21.11,-0.41%,0.00%,-0.41%,115
AABLV,1.82,0.09,-12.33%,-7.56%,1.29%,-34.63%,57.34%,43.22,0.85,-7.64%,-8.62%,1.08%,"6,170"
AABM,0.62,1.37,2.58%,3.19%,12.51%,-3.87%,33.38%,56.54,49.30,-2.07%,-2.43%,0.38%,"426,880"
AABNB,1.24,4.99,-7.45%,-0.42%,17.21%,-14.23%,49.74%,39.86,165.93,-0.94%,-2.00%,1.07%,"3,177,201"
AABND,0.23,0.14,-0.78%,-1.26%,-2.72%,-5.00%,0.69%,37.48,42.56,0.55%,0.00%,0.54%,"3,136"
AABOS,0.32,0.20,-13.26%,-1.77%,3.32%,-28.61%,110.66%,40.67,2.57,-1.53%,-4.46%,3.07%,"490,021"
AABOT,0.93,0.45,0.49%,3.76%,15.11%,-1.65%,36.86%,56.24,43.99,0.61%,0.00%,0.61%,106
AABR,1.19,0.16,-9.60%,-11.12%,-33.20%,-64.37%,-0.44%,29.75,4.48,-0.88%,-1.97%,1.11%,"6,461,446"
AABSI,2.32,0.64,5.16%,5.55%,68.76%,-23.10%,313.84%,56.54,9.27,15.30%,11.75%,3.17%,"8,665,817"
AABT,0.58,2.58,-5.97%,-3.42%,-2.94%,-25.65%,24.72%,36.32,102.23,-0.13%,0.08%,-0.21%,"8,426,081"
AABTC,3.95,0.80,6.14%,25.25%,-44.24%,-92.69%,79.47%,56.05,8.83,8.48%,4.50%,3.81%,"1,880,600"
AABTS,2.39,0.12,1.71%,9.94%,-41.88%,-86.88%,87.46%,53.71,1.42,2.50%,3.14%,-0.63%,"1,408,103"
AABUF,-,0.08,0.21%,0.89%,2.73%,-0.33%,10.25%,56.42,27.70,0.58%,-0.07%,0.65%,939
AABUS,0.75,0.12,-0.83%,5.85%,12.13%,-6.97%,44.86%,55.59,5.07,0.40%,-0.59%,0.99%,"2,715,014"
AABVC,0.47,0.10,23.99%,11.33%,-20.46%,-66.18%,62.68%,62.52,1.15,6.48%,1.77%,4.63%,"245,361"
AABVX,1.28,4.93,-6.11%,-12.75%,-10.13%,-28.11%,53.26%,39.33,106.99,4.66%,2.29%,2.31%,"1,152,158"
AABX,0.06,0.38,-4.97%,-8.46%,-0.57%,-27.09%,81.40%,38.92,9.07,-1.52%,-4.43%,3.04%,"334,488"
AABXB,0.32,0.03,-0.41%,-0.50%,-2.28%,-4.77%,0.32%,40.38,19.05,0.32%,0.00%,0.32%,13
AACA,1.08,0.42,0.10%,0.20%,16.27%,-1.00%,63.37%,57.77,145.45,0.21%,-0.10%,0.32%,"718,790"
AACAA,-,0.02,-0.01%,-0.13%,0.10%,-2.39%,4.54%,48.62,9.99,0.00%,-0.21%,0.21%,107
AACAD,0.86,0.83,-3.67%,-0.50%,11.55%,-11.34%,39.41%,45.09,27.45,-0.33%,-1.19%,0.87%,"1,307,767"
AACB,0.64,0.14,-1.56%,15.07%,6.53%,-42.24%,50.39%,58.09,3.85,0.52%,-0.52%,1.04%,"510,664"
AACBE,-,0.14,0.45%,0.45%,0.45%,-0.26%,1.26%,-,24.95,1.26%,0.00%,1.26%,36
AACBH,-,0.16,0.74%,0.74%,0.74%,0.26%,1.89%,-,25.01,1.89%,0.00%,1.89%,35
AACCL,-,0.21,3.34%,15.19%,43.08%,-41.00%,139.84%,56.44,2.95,1.72%,0.34%,1.38%,"32,234"
AACCO,1.17,0.12,1.89%,3.19%,13.01%,-4.57%,54.74%,57.04,4.35,2.35%,1.16%,1.18%,"788,976"
AACCS,0.42,0.35,-2.04%,-14.42%,-31.19%,-55.59%,6.22%,43.57,5.04,4.35%,3.49%,0.83%,"30,402"
AACDC,1.50,0.37,1.23%,5.26%,-7.87%,-38.44%,64.29%,51.34,5.06,4.55%,4.76%,-0.21%,"1,785,182"
AACEI,0.54,0.23,0.84%,1.93%,-0.61%,-12.71%,7.71%,56.78,23.85,0.72%,0.08%,0.65%,"39,962"
AACEL,1.06,0.24,-2.35%,-4.86%,-2.37%,-18.21%,19.90%,36.67,11.45,-0.52%,-1.21%,0.70%,"233,466"
AACEP,-,0.17,-2.08%,-0.81%,7.97%,-3.91%,34.20%,41.20,20.17,1.02%,0.10%,0.92%,"17,885"
AACES,1.45,0.70,-2.39%,-5.69%,-13.88%,-31.55%,3.79%,41.69,29.43,2.63%,0.53%,2.09%,"7,947"
AACET,1.59,0.61,-2.23%,2.36%,11.83%,-48.33%,49.92%,48.95,9.01,-0.44%,-2.07%,1.66%,"130,675"
AACFN,0.29,1.25,6.42%,9.55%,17.62%,-33.16%,71.58%,59.11,21.31,2.55%,0.57%,1.97%,"11,315"
AACGC,-,0.02,0.62%,0.92%,0.96%,-7.62%,1.62%,80.08,10.06,0.00%,-0.10%,0.10%,"264,954"
AACGL,0.27,1.86,-1.54%,-2.83%,0.46%,-9.70%,17.29%,43.86,96.70,-0.28%,-0.31%,0.03%,"3,183,059"
AACGO,-,0.34,0.42%,0.89%,0.75%,-3.22%,8.28%,52.37,38.16,1.75%,0.03%,1.72%,314
AACGR,1.09,0.67,0.03%,0.37%,4.22%,-4.25%,20.64%,50.30,69.20,1.45%,0.00%,1.45%,22
AACH,1.51,0.14,-10.78%,-50.73%,-60.08%,-81.90%,10.31%,28.78,1.03,-3.74%,-4.63%,0.93%,"691,339"
