Ticker,MarketCap,PE,ForwardPE,PEG,PS,PB,PC,PFCF,EPSThisY,EPSNextY,EPSPast5Y,EPSNext5Y,SalesPast5Y,Price,Change,Volume
AA,48.73B,34.03,25.63,2.52,6.61,6.62,27.72,38.46,10.95%,8.75%,14.68%,10.16%,5.41%,172.84,4.55%,"3,053,449"
AAA,11.26B,8.75,7.11,0.36,0.82,1.53,7.47,32.00,71.69%,-7.28%,-,19.72%,7.07%,42.68,-3.04%,"4,592,243"
AAAA,-,-,-,-,-,-,-,-,-,-,-,-,-,25.05,0.18%,"1,492"
AAAAA,-,-,-,-,-,-,-,-,-,-,-,-,-,30.76,-0.00%,"4,482"
AAAAC,-,-,-,-,-,-,-,-,-,-,-,-,-,20.12,-0.00%,10
AAAAD,-,-,-,-,-,-,-,-,-,-,-,-,-,48.37,-0.40%,317
AAAAP,-,-,-,-,-,-,-,-,-,-,-,-,-,25.48,0.08%,"5,575"
AAAAU,-,-,-,-,-,-,-,-,-,-,-,-,-,42.15,-0.19%,"1,639,586"
AAAC,497.26M,-,-,-,-,-,150.68,-,-,-,-,-,-,10.07,-0.10%,"4,511"
AAACG,35.53M,-,-,-,0.95,5.72,2.91,-,-,-,14.26%,-,9.68%,0.83,0.07%,"2,753"
AAACI,342.85M,146.29,-,-,-,1.41,482.89,-,-,-,-,-,-,10.05,0.00%,"25,180"
AAACO,313.78M,-,-,-,-,1.39,268.19,-,-,-,-,-,-,10.01,0.05%,10
AAACP,236.95M,-,-,-,-,1.27,607.57,-,-,-,-,-,-,10.10,-0.04%,8
AAADR,-,-,-,-,-,-,-,-,-,-,-,-,-,82.43,-0.45%,"2,239"
AAADX,2.20B,-,-,-,3.81,2.65,121.27,-,-,-,-,-,-,12.74,0.39%,"1,687,216"
AAAEQ,-,-,-,-,-,-,-,-,-,-,-,-,-,55.12,-0.00%,983
AAAL,8.84B,-,6.09,0.06,0.15,-,1.04,31.01,-145.23%,1446.93%,-,107.04%,25.80%,13.35,0.00%,"84,063,193"
AAALG,-,-,-,-,-,-,-,-,-,-,-,-,-,10.44,0.49%,"86,640"
AAAME,26.72M,5.81,-,-,0.13,0.24,-,1.10,-,-,-42.60%,-,-1.03%,1.31,-5.76%,"9,258"
AAAMI,3.31B,32.93,14.45,0.43,4.77,36.00,38.60,13.66,64.92%,20.52%,-8.76%,33.77%,3.76%,93.32,1.98%,"254,634"
AAAOG,-,-,-,-,-,-,-,-,-,-,-,-,-,2.13,0.00%,"2,782,395"
AAAOI,8.58B,-,18.20,-,14.39,5.11,16.86,-,384.62%,650.23%,24.98%,-,14.20%,101.03,-0.03%,"5,551,425"
AAAON,6.95B,44.08,23.82,0.48,3.60,6.88,545.83,-,74.25%,50.40%,5.45%,50.11%,22.89%,84.27,2.32%,"1,315,891"
AAAOX,-,-,-,-,-,-,-,-,-,-,-,-,-,9.56,0.00%,"8,410,154"
AAAOZ,-,-,-,-,-,-,-,-,-,-,-,-,-,13.82,-0.29%,"699,683"
AAAP,2.50B,30.07,10.56,0.42,0.29,1.10,0.80,108.80,32.98%,30.58%,-36.70%,25.43%,-3.17%,41.43,0.80%,"1,668,912"
AAAPB,-,-,-,-,-,-,-,-,-,-,-,-,-,44.31,-0.50%,"36,673"
AAAPD,-,-,-,-,-,-,-,-,-,-,-,-,-,10.20,0.25%,"5,436,828"
AAAPE,-,-,-,-,-,-,-,-,-,-,-,-,-,16.64,-0.42%,"5,953"
AAAPG,1.42B,-,-,-,15.42,17.26,5.07,-,43.70%,60.56%,-1.32%,48.17%,113.42%,15.23,-2.25%,"15,456"
AAAPL,4902.48B,38.51,34.96,2.74,10.50,45.64,78.57,35.87,18.36%,8.81%,17.91%,12.75%,8.71%,335.92,-0.33%,"24,733,098"
AAAPR,-,-,-,-,-,-,-,-,-,-,-,-,-,29.76,0.03%,"1,004"
AAAPU,-,-,-,-,-,-,-,-,-,-,-,-,-,45.07,-0.71%,"646,111"
AAAPW,-,-,-,-,-,-,-,-,-,-,-,-,-,41.45,-0.18%,"9,519"
AAAPX,-,-,-,-,-,-,-,-,-,-,-,-,-,40.80,-0.46%,"46,165"
AAAPY,-,-,-,-,-,-,-,-,-,-,-,-,-,27.90,-0.26%,"6,688"
AAARD,121.46M,-,-,-,-,1.62,1.64,-,-7.54%,18.64%,-,5.48%,-,5.55,-0.18%,"96,094"
AAAT,1.32B,72.55,58.08,-,3.00,1.18,12.03,14.89,-57.61%,-5.13%,14.72%,-23.00%,6.88%,21.49,0.00%,"290,837"
AAAUA,-,-,-,-,-,-,-,-,-,-,-,-,-,59.04,0.07%,20
AAAUB,-,-,-,-,-,-,-,-,-,-,-,-,-,51.49,-0.14%,"2,847"
AAAUC,3.07B,-,3.10,0.04,2.06,5.55,15.99,-,108.80%,139.63%,-,79.48%,-,22.05,-1.47%,"404,760"
AAAUS,-,-,-,-,-,-,-,-,-,-,-,-,-,61.92,0.04%,594
AAAVM,-,-,-,-,-,-,-,-,-,-,-,-,-,33.61,-0.23%,670
AAAXJ,-,-,-,-,-,-,-,-,-,-,-,-,-,117.22,-0.54%,"400,767"
AAB,3.30B,10.45,9.25,1.05,-,2.63,-,10.51,3.85%,10.69%,0.57%,8.77%,-,35.41,-1.14%,"516,371"
AABAT,320.80M,-,-,-,14.76,2.52,6.38,-,59.48%,-61.70%,14.48%,-,-,2.25,-2.60%,"2,027,290"
AABBV,468.50B,74.96,16.15,0.75,7.28,-,71.32,25.73,40.50%,16.82%,-2.81%,21.47%,5.95%,265.12,0.02%,"3,458,170"
AABCB,5.49B,14.80,11.64,1.30,3.22,1.34,-,10.52,10.64%,6.06%,9.71%,8.97%,7.93%,81.79,0.20%,"478,928"
AABCL,4.10B,-,-,-,61.95,4.33,7.25,-,-33.82%,-9.30%,-,-18.92%,-20.27%,12.65,2.76%,"4,990,522"
AABCS,-,-,-,-,-,-,-,-,-,-,-,-,-,33.79,-0.53%,"2,277"
AABEO,310.51M,-,-,-,12.17,2.43,2.11,-,-190.10%,90.58%,-,-27.34%,-10.26%,5.43,-1.81%,"852,416"
AABEQ,-,-,-,-,-,-,-,-,-,-,-,-,-,38.01,-0.25%,"4,397"
AABEV,44.16B,14.86,13.61,1.51,2.65,2.64,12.46,9.94,12.80%,5.37%,4.85%,9.01%,6.89%,2.91,-0.68%,"11,181,678"
AABFL,-,-,-,-,-,-,-,-,-,-,-,-,-,80.69,-0.25%,"10,546"
AABG,3.23B,6.73,5.93,1.03,0.18,0.82,90.48,6.61,-5.97%,14.90%,13.75%,5.76%,20.34%,179.94,-0.87%,"222,705"
AABI,-,-,-,-,-,-,-,-,-,-,-,-,-,24.53,0.04%,"39,796"
AABIG,-,-,-,-,-,-,-,-,-,-,-,-,-,35.18,0.03%,681
AABLD,-,-,-,-,-,-,-,-,-,-,-,-,-,31.39,-1.17%,"5,165"
AABLG,-,-,-,-,-,-,-,-,-,-,-,-,-,30.74,-1.12%,293
AABLS,-,-,-,-,-,-,-,-,-,-,-,-,-,20.58,-0.58%,270
AABLV,62.95M,-,-,-,0.60,7.24,6.99,53.81,-,-,-,-,-2.69%,1.14,17.54%,"210,592"
AABM,2.90B,17.90,11.38,1.12,0.32,1.62,26.28,9.29,16.49%,8.62%,256.47%,10.17%,7.87%,49.54,-0.30%,"370,267"
AABNB,90.65B,34.41,24.21,1.06,6.85,11.45,7.47,18.66,32.06%,17.47%,-,22.80%,29.50%,151.39,1.21%,"8,597,725"
AABND,-,-,-,-,-,-,-,-,-,-,-,-,-,41.94,-0.47%,"6,312"
AABOS,161.63M,-,-,-,-,2.82,1.47,-,23.39%,3.23%,-61.49%,16.13%,-,2.23,-3.04%,"265,852"
AABOT,-,-,-,-,-,-,-,-,-,-,-,-,-,43.82,-0.21%,18
AABR,759.29M,63.40,6.99,-,0.63,0.36,1.78,2.31,-74.53%,113.76%,-16.98%,-,12.27%,4.07,-2.86%,"7,302,578"
AABSI,1.78B,-,-,-,1138.04,7.21,8.83,-,5.21%,10.73%,-9.45%,15.88%,-10.14%,10.35,6.16%,"3,388,022"
AABT,174.89B,32.67,16.66,1.79,3.75,3.42,31.21,22.35,7.13%,9.93%,8.23%,9.30%,5.08%,101.07,-2.34%,"6,216,822"
AABTC,699.07M,-,139.74,3.51,2.57,1.04,38.10,-,42.72%,104.19%,86.80%,39.81%,63.91%,9.60,-3.13%,"1,351,604"
AABTS,4.05M,-,-,-,0.44,0.38,50.60,-,-,-,-,-,57.35%,1.26,-0.79%,"11,805"
AABUF,-,-,-,-,-,-,-,-,-,-,-,-,-,27.83,-0.09%,"24,173"
AABUS,966.75M,6.23,-,-,5.32,3.73,10.44,-,535.29%,-110.81%,29.45%,-,15.29%,4.88,0.62%,"6,262,978"
