Fund Holdings as of,"29/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","2’436’048’864.00","8.14","2’436’048’864.00","11’537’600.00","211.14","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","2’175’236’074.20","7.27","2’175’236’074.20","6’970’570.00","312.06","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1’587’408’916.80","5.30","1’587’408’916.80","3’525’695.00","450.24","United States","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1’432’504’648.00","4.79","1’432’504’648.00","1’475’288.00","971.00","United States","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1’379’438’818.64","4.61","1’379’438’818.64","5’096’951.00","270.64","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1’102’942’859.20","3.69","1’102’942’859.20","2’137’072.00","516.10","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1’051’365’114.18","3.51","1’051’365’114.18","2’764’277.00","380.34","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1’032’730’784.10","3.45","1’032’730’784.10","2’369’790.00","435.79","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","1’005’734’222.71","3.36","1’005’734’222.71","2’251’123.00","446.77","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","971’914’780.61","3.25","971’914’780.61","2’581’927.00","376.43","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","885’732’215.95","2.96","885’732’215.95","1’400’345.00","632.51","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION","Information Technology","Equity","750’845’166.76","2.51","750’845’166.76","6’547’307.00","114.68","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","741’504’686.00","2.48","741’504’686.00","6’406’088.00","115.75","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","623’469’010.68","2.08","623’469’010.68","5’177’454.00","120.42","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","556’425’228.80","1.86","556’425’228.80","581’840.00","956.32","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","520’813’887.54","1.74","520’813’887.54","1’636’853.00","318.18","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","476’063’582.72","1.59","476’063’582.72","5’534’336.00","86.02","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","470’027’473.62","1.57","470’027’473.62","3’002’603.00","156.54","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","468’177’165.30","1.56","468’177’165.30","1’040’255.00","450.06","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","363’395’135.12","1.21","363’395’135.12","1’188’809.00","305.68","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","351’823’607.52","1.18","351’823’607.52","1’401’576.00","251.02","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","329’748’140.61","1.10","329’748’140.61","171’591.00","1’921.71","United States","NASDAQ","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","328’098’973.58","1.10","328’098’973.58","193’571.00","1’694.98","United States","NASDAQ","USD"
