ticker,name,sector,asset_class,weight,isin
AAPL,APPLE INC,Information Technology,Equity,7.63539,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.27152,US0090661010
ADBE,ADOBE INC,Information Technology,Equity,0.39776,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.83451,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.4335,US0530151036
ADSK,AUTODESK INC,Information Technology,Equity,0.19387,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.31593,US0255371017
ALAB,ASTERA LABS INC,Information Technology,Equity,0.26336,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,0.16396,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,2.01602,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,3.78104,US0079031078
AMGN,AMGEN INC,Health Care,Equity,0.84747,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.35356,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.60657,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,0.51471,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,0.72896,USN070592100
AVGO,BROADCOM INC,Information Technology,Equity,2.96741,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.19114,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.62072,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.2505,US05722G1004
CAD,CAD CASH,Cash and/or Derivatives,Cash,0.0,-
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,Equity,0.20285,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.44902,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.40855,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.36674,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,1.78191,US22160K1051
CPRT,COPART INC,Industrials,Equity,0.11225,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.92271,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,Equity,0.14921,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,1.93051,US17275R1023
CSX,CSX CORP,Industrials,Equity,0.40145,US1264081035
CTAS,CINTAS CORP,Industrials,Equity,0.33728,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.34278,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.3834,US23804L1035
DXCM,DEXCOM INC,Health Care,Equity,0.12301,US2521311074
EA,ELECTRONIC ARTS INC,Communication,Equity,0.22873,US2855121099
EUR,EUR CASH,Cash and/or Derivatives,Cash,0.0006,-
EXC,EXELON CORP,Utilities,Equity,0.20633,US30161N1019
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.23393,US25278X1090
FAST,FASTENAL,Industrials,Equity,0.22959,US3119001044
FER,FERROVIAL NV,Industrials,Equity,0.20273,NL0015001FS8
FTNT,FORTINET INC,Information Technology,Equity,0.52818,US34959E1091
GBP,GBP CASH,Cash and/or Derivatives,Cash,0.00218,-
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.12372,US36266G1076
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.71656,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,Equity,3.20626,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.42909,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.31216,US4385162056
HONA,HONEYWELL AEROSPACE INC,Industrials,Equity,0.29775,US43849R1059
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,0.1946,US45168D1046
INTC,INTEL CORPORATION,Information Technology,Equity,2.26836,US4581401001
INTU,INTUIT INC,Information Technology,Equity,0.33527,US4612021034
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.60369,US46120E6023
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,0.1793,US49271V1008
KHC,KRAFT HEINZ,Consumer Staples,Equity,0.13187,US5007541064
KLAC,KLA CORP,Information Technology,Equity,1.28511,US4824801009
LIN,LINDE PLC,Materials,Equity,1.04172,IE000S9YS762
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,0.25576,US55024U1097
LRCX,LAM RESEARCH CORP,Information Technology,Equity,1.83825,US5128073062
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,0.42645,US5719032022
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,0.2039,US5950171042
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,0.32851,US6092071058
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,0.40882,US58733R1023
META,META PLATFORMS INC CLASS A,Communication,Equity,3.20264,US30303M1027
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,0.00803,-
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,0.41817,US61174X1090
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,0.2893,US6098391054
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,0.7907,US5738741041
MSFT,MICROSOFT CORP,Information Technology,Equity,4.66512,US5949181045
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,0.14374,US5949724083
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,4.46894,US5951121038
NBIS,NEBIUS NV CLASS A,Information Technology,Equity,0.19145,NL0009805522
NFLX,NETFLIX INC,Communication,Equity,1.35959,US64110L1061
NQU6,NASDAQ 100 E-MINI SEP 26,Cash and/or Derivatives,Futures,0.0,-
NVDA,NVIDIA CORP,Information Technology,Equity,8.16301,US67066G1040
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,0.3121,NL0009538784
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,0.20545,US6795801009
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,0.30044,US67103H1077
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,1.26593,US6974351057
PAYX,PAYCHEX INC,Industrials,Equity,0.17191,US7043261079
PCAR,PACCAR INC,Industrials,Equity,0.28159,US6937181088
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,Equity,0.25317,US7223041028
PEP,PEPSICO INC,Consumer Staples,Equity,0.81097,US7134481081
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,1.34588,US69608A1088
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,0.21228,US70450Y1038
QCOM,QUALCOMM INC,Information Technology,Equity,0.82207,US7475251036
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,0.29998,US75886F1075
RKLB,ROCKET LAB CORP,Industrials,Equity,0.19285,US7731211089
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,0.15202,US7766961061
ROST,ROSS STORES INC,Consumer Discretionary,Equity,0.31878,US7782961038
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.52496,US8552441094
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,0.66031,CA82509L1076
SNDK,SANDISK CORP,Information Technology,Equity,1.04809,US80004C2008
SNPS,SYNOPSYS INC,Information Technology,Equity,0.35681,US8716071076
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Equity,1.13617,US84615Q1031
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,0.8139,IE00BKVD2N49
TER,TERADYNE INC,Information Technology,Equity,0.2342,US8807701029
TMUS,T MOBILE US INC,Communication,Equity,0.88978,US8725901040
TRI,THOMSON REUTERS CORP,Industrials,Equity,0.16262,CA8849038812
TSLA,TESLA INC,Consumer Discretionary,Equity,3.12791,US88160R1014
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,0.19718,US8740541094
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,1.20121,US8825081040
USD,USD CASH,Cash and/or Derivatives,Cash,0.12802,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,0.53062,US92532F1003
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,0.29961,US9344231041
