ticker,name,sector,weight,ISIN
AAPL,APPLE INC,Information Technology,7.51,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,0.29,US0090661010
ADBE,ADOBE INC,Information Technology,0.46,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,0.82,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.49,US0530151036
ADSK,AUTODESK INC,Information Technology,0.23,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.32,US0255371017
ALAB,ASTERA LABS INC,Information Technology,0.24,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,0.13,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,1.84,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,3.55,US0079031078
AMGN,AMGEN INC,Health Care,0.95,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,4.84,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,0.55,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,0.46,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,0.68,USN070592100
AVGO,BROADCOM INC,Information Technology,3.06,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,0.19,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.68,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,0.28,US05722G1004
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,0.22,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,0.43,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,0.43,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,0.39,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,1.93,US22160K1051
CPRT,COPART INC,Industrials,0.12,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,0.89,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,0.14,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,2.09,US17275R1023
CSX,CSX CORP,Industrials,0.43,US1264081035
CTAS,CINTAS CORP,Industrials,0.37,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,0.37,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,0.41,US23804L1035
DXCM,DEXCOM INC,Health Care,0.15,US2521311074
EA,ELECTRONIC ARTS INC,Communication,0.24,US2855121099
EXC,EXELON CORP,Utilities,0.22,US30161N1019
FANG,DIAMONDBACK ENERGY INC,Energy,0.26,US25278X1090
FAST,FASTENAL,Industrials,0.25,US3119001044
FER,FERROVIAL NV,Industrials,0.21,NL0015001FS8
FTNT,FORTINET INC,Information Technology,0.54,US34959E1091
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,0.14,US36266G1076
GILD,GILEAD SCIENCES INC,Health Care,0.74,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,3.22,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,3.43,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,0.36,US4385162056
HONA,HONEYWELL AEROSPACE INC,Industrials,0.30,US43849R1059
IDXX,IDEXX LABORATORIES INC,Health Care,0.20,US45168D1046
INTC,INTEL CORPORATION,Information Technology,2.07,US4581401001
INTU,INTUIT INC,Information Technology,0.40,US4612021034
ISRG,INTUITIVE SURGICAL INC,Health Care,0.57,US46120E6023
KDP,KEURIG DR PEPPER INC,Consumer Staples,0.19,US49271V1008
KHC,KRAFT HEINZ,Consumer Staples,0.14,US5007541064
KLAC,KLA CORP,Information Technology,1.09,US4824801009
LIN,LINDE PLC,Materials,1.01,IE000S9YS762
LITE,LUMENTUM HOLDINGS INC,Information Technology,0.25,US55024U1097
LRCX,LAM RESEARCH CORP,Information Technology,1.67,US5128073062
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,0.45,US5719032022
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,0.18,US5950171042
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.36,US6092071058
MELI,MERCADOLIBRE INC,Consumer Discretionary,0.43,US58733R1023
META,META PLATFORMS INC CLASS A,Communication,2.73,US30303M1027
MNST,MONSTER BEVERAGE CORP,Consumer Staples,0.43,US61174X1090
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,0.32,US6098391054
MRVL,MARVELL TECHNOLOGY INC,Information Technology,0.75,US5738741041
MSFT,MICROSOFT CORP,Information Technology,5.72,US5949181045
MSTR,STRATEGY INC CLASS A,Information Technology,0.14,US5949724083
MU,MICRON TECHNOLOGY INC,Information Technology,4.24,US5951121038
NBIS,NEBIUS NV CLASS A,Information Technology,0.19,NL0009805522
NFLX,NETFLIX INC,Communication,1.38,US64110L1061
NVDA,NVIDIA CORP,Information Technology,8.04,US67066G1040
NXPI,NXP SEMICONDUCTORS NV,Information Technology,0.27,NL0009538784
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,0.20,US6795801009
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.34,US67103H1077
PANW,PALO ALTO NETWORKS INC,Information Technology,1.24,US6974351057
PAYX,PAYCHEX INC,Industrials,0.19,US7043261079
PCAR,PACCAR INC,Industrials,0.32,US6937181088
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,0.27,US7223041028
PEP,PEPSICO INC,Consumer Staples,0.87,US7134481081
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,1.29,US69608A1088
