ticker,name,sector,asset_class,weight,isin,cusip,sedol
AA,ALCOA CORP,Materials,Equity,0.34,US0138721065,013872106,BYNF418
AAL,AMERICAN AIRLINES GROUP,Industrials,Equity,0.26,US02376R1023,02376R102,BCV7KT2
AAON,AAON,Industrials,Equity,0.16,US0003602069,000360206,2268130
ACI,ALBERTSONS COMPANY CLASS A,Consumer Staples,Equity,0.11,US0130911037,013091103,BYNQ369
ACM,AECOM,Industrials,Equity,0.23,US00766T1007,00766T100,B1VZ431
ADC,AGREE REALTY REIT,Real Estate,Equity,0.24,US0084921008,008492100,2062161
AEIS,ADVANCED ENERGY INDUSTRIES,Information Technology,Equity,0.32,US0079731008,007973100,2049175
AFG,AMERICAN FINANCIAL GROUP,Financials,Equity,0.28,US0259321042,025932104,2134532
AGCO,AGCO,Industrials,Equity,0.20,US0010841023,001084102,2010278
AGNC,AGNC INVESTMENT REIT,Financials,Equity,0.34,US00123Q1040,00123Q104,BYYHJL8
AHR,AMERICAN HEALTHCARE REIT,Real Estate,Equity,0.32,US3981823038,398182303,BQWNKQ4
AIT,APPLIED INDUSTRIAL TECHNOLOGIES,Industrials,Equity,0.35,US03820C1053,03820C105,2086309
ALGM,ALLEGRO MICROSYSTEMS INC,Information Technology,Equity,0.13,US01749D1054,01749D105,BN4LSB6
ALK,ALASKA AIR GROUP INC,Industrials,Equity,0.13,US0116591092,011659109,2012605
ALLY,ALLY FINANCIAL INC,Financials,Equity,0.31,US02005N1000,02005N100,B72XK05
ALSN,ALLISON TRANSMISSION HOLDINGS,Industrials,Equity,0.27,US01973R1014,01973R101,B4PZ892
ALV,AUTOLIV,Consumer Discretionary,Equity,0.23,US0528001094,052800109,2064253
AM,ANTERO MIDSTREAM,Energy,Equity,0.20,US03676B1026,03676B102,BJBT0Q4
AMG,AFFILIATED MANAGERS GROUP,Financials,Equity,0.27,US0082521081,008252108,2127899
AMH,AMERICAN HOMES  RENT REIT CLASS A,Real Estate,Equity,0.28,US02665T3068,02665T306,BCF5RR9
