ticker,name,sector,asset_class,weight,isin,cusip,sedol
-,OMNIAB INC $15.00 VESTING  Prvt,Health Care,Equity,-,US68218J3014,68218J301,BP0VHL7
-,OMNIAB INC $12.50 VESTING  Prvt,Health Care,Equity,-,US68218J2024,68218J202,BP0VHM8
AAMI,ACADIAN ASSET MANAGEMENT,Financials,Equity,0.15,US10948W1036,10948W103,BJBLBN4
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Equity,0.15,US00751Y1064,00751Y106,2822019
AAT,AMERICAN ASSETS TRUST REIT,Real Estate,Equity,0.06,US0240131047,024013104,B3NTLD4
ABCB,AMERIS BANCORP,Financials,Equity,0.29,US03076K1088,03076K108,2038849
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,0.19,US0434361046,043436104,2855855
ABM,ABM INDUSTRIES INC,Industrials,Equity,0.17,US0009571003,000957100,2024901
ABR,ARBOR REALTY TRUST REIT,Financials,Equity,0.04,US0389231087,038923108,B00N2S0
ABR,ARBOR REALTY TRUST REIT,Financials,Equity,-,US0389231087,038923108,B00N2S0
ACA,ARCOSA,Industrials,Equity,0.41,US0396531008,039653100,BGPZ5W8
ACAD,ACADIA PHARMACEUTICALS,Health Care,Equity,0.19,US0042251084,004225108,2713317
ACHC,ACADIA HEALTHCARE COMPANY,Health Care,Equity,0.15,US00404A1097,00404A109,B65VZ37
ACIW,ACI WORLDWIDE,Information Technology,Equity,0.28,US0044981019,004498101,2889155
ACLS,AXCELIS TECHNOLOGIES,Information Technology,Equity,0.20,US0545402085,054540208,BD420Q8
ACMR,ACM RESEARCH CLASS A,Information Technology,Equity,0.25,US00108J1097,00108J109,BF5C2N2
ACT,ENACT HOLDINGS INC,Financials,Equity,0.07,US29249E1091,29249E109,BNZFTG9
ADAM,ADAMAS,Financials,Equity,0.04,US6496048405,649604840,BR4NQJ4
ADEA,ADEIA,Information Technology,Equity,0.16,US00676P1075,00676P107,BPMQ8J5
ADEA,ADEIA,Information Technology,Equity,-,US00676P1075,00676P107,BPMQ8J5
ADIG,ADI GLOBAL DISTRIBUTION,Information Technology,Equity,0.08,US0010261032,001026103,BWL8631
ADMA,ADMA BIOLOGICS,Health Care,Equity,0.12,US0008991046,000899104,B9NSBM2
ADNT,ADIENT PLC,Consumer Discretionary,Equity,0.08,IE00BD845X29,-,BD845X2
ADT,ADT INC,Consumer Discretionary,Equity,0.20,US00090Q1031,00090Q103,BFWCP81
ADUS,ADDUS HOMECARE CORP,Health Care,Equity,0.12,US0067391062,006739106,B55BN47
AEO,AMERICAN EAGLE OUTFITTERS,Consumer Discretionary,Equity,0.14,US02553E1064,02553E106,2048592
AESI,ATLAS ENERGY SOLUTIONS,Energy,Equity,0.06,US6420451089,642045108,BL6JGD2
AGNT,AGNT,Real Estate,Equity,0.02,US30212W1009,30212W100,BDH2902
AGO,ASSURED GUARANTY LTD,Financials,Equity,0.16,BMG0585R1060,G0585R106,B00V7H8
AGX,ARGAN,Industrials,Equity,0.29,US04010E1091,04010E109,2804501
AGYS,AGILYSYS INC,Information Technology,Equity,0.15,US00847J1051,00847J105,2689162
AHCO,ADAPTHEALTH,Health Care,Equity,0.03,US00653Q1022,00653Q102,BKDRF35
AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,Equity,0.10,US0123481089,012348108,2012757
AIR,AAR,Industrials,Equity,0.26,US0003611052,000361105,2001119
