iShares Core S&P 500 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,125,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","67,597,352,509.50","7.88","67,597,352,509.50","320,154,175.00","211.14","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","60,360,298,181.82","7.04","60,360,298,181.82","193,425,297.00","312.06","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","44,048,330,370.24","5.14","44,048,330,370.24","97,833,001.00","450.24","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","34,832,529,045.60","4.06","34,832,529,045.60","128,704,290.00","270.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","29,174,017,734.00","3.40","29,174,017,734.00","76,705,100.00","380.34","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","27,908,316,361.58","3.25","27,908,316,361.58","62,466,854.00","446.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","23,193,990,422.40","2.70","23,193,990,422.40","61,615,680.00","376.43","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","18,226,647,248.78","2.13","18,226,647,248.78","28,816,378.00","632.51","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","16,147,871,171.71","1.88","16,147,871,171.71","37,054,249.00","435.79","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","14,398,642,454.00","1.68","14,398,642,454.00","14,828,674.00","971.00","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,536,648,630.00","1.35","11,536,648,630.00","10,440,406.00","1,105.00","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,463,156,382.32","1.34","11,463,156,382.32","24,159,409.00","474.48","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","11,086,310,037.40","1.29","11,086,310,037.40","21,480,934.00","516.10","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,632,306,520.44","1.24","10,632,306,520.44","35,522,724.00","299.31","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,997,793,933.24","0.93","7,997,793,933.24","55,058,474.00","145.26","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,228,352,803.08","0.84","7,228,352,803.08","22,148,403.00","326.36","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","7,154,394,920.19","0.83","7,154,394,920.19","31,750,743.00","225.33","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","7,094,226,819.52","0.83","7,094,226,819.52","61,861,064.00","114.68","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,685,055,479.25","0.78","6,685,055,479.25","57,754,259.00","115.75","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","6,268,562,085.24","0.73","6,268,562,085.24","52,055,822.00","120.42","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,592,524,932.48","0.65","5,592,524,932.48","5,847,964.00","956.32","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","5,369,416,806.47","0.63","5,369,416,806.47","6,130,381.00","875.87","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,300,200,398.30","0.62","5,300,200,398.30","10,729,585.00","493.98","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","5,234,915,313.30","0.61","5,234,915,313.30","16,452,685.00","318.18","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","5,069,740,832.00","0.59","5,069,740,832.00","23,285,600.00","217.72","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","5,044,206,296.10","0.59","5,044,206,296.10","22,341,245.00","225.78","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","4,785,079,184.38","0.56","4,785,079,184.38","55,627,519.00","86.02","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","4,711,240,363.20","0.55","4,711,240,363.20","30,096,080.00","156.54","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","4,706,362,481.34","0.55","4,706,362,481.34","10,457,189.00","450.06","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,538,852,670.03","0.53","4,538,852,670.03","11,934,613.00","380.31","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,511,009,410.80","0.53","4,511,009,410.80","87,422,663.00","51.60","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","4,506,182,689.50","0.53","4,506,182,689.50","24,696,825.00","182.46","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","4,473,750,322.32","0.52","4,473,750,322.32","13,818,107.00","323.76","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,395,677,708.88","0.51","4,395,677,708.88","30,619,098.00","143.56","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,159,570,817.48","0.49","4,159,570,817.48","13,115,882.00","317.14","United States","NYSE","USD","1.00","USD","-"
