iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 08, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,123,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","66,109,121,468.16","7.96","66,109,121,468.16","316,857,369.00","208.64","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","57,724,785,823.48","6.95","57,724,785,823.48","191,433,262.00","301.54","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","39,867,038,422.40","4.80","39,867,038,422.40","96,825,760.00","411.74","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","31,235,883,529.62","3.76","31,235,883,529.62","127,379,021.00","245.22","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","27,778,128,552.25","3.35","27,778,128,552.25","76,458,475.00","363.31","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","24,519,153,697.80","2.95","24,519,153,697.80","61,823,383.00","396.60","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","22,258,624,303.89","2.68","22,258,624,303.89","61,629,217.00","361.17","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","16,695,026,007.27","2.01","16,695,026,007.27","28,519,493.00","585.39","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","14,997,211,922.85","1.81","14,997,211,922.85","36,672,483.00","408.95","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","13,931,544,996.96","1.68","13,931,544,996.96","14,675,907.00","949.28","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,873,854,381.20","1.43","11,873,854,381.20","10,332,728.00","1,149.15","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,644,544,016.00","1.40","11,644,544,016.00","23,910,768.00","487.00","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,937,640,759.08","1.32","10,937,640,759.08","35,156,828.00","311.11","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","10,424,225,551.96","1.26","10,424,225,551.96","21,259,612.00","490.33","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","8,269,108,494.50","1.00","8,269,108,494.50","54,491,654.00","151.75","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","7,295,310,405.12","0.88","7,295,310,405.12","31,423,632.00","232.16","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,007,300,022.06","0.84","7,007,300,022.06","21,920,418.00","319.67","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,849,419,050.44","0.83","6,849,419,050.44","57,159,468.00","119.83","United States","NASDAQ","USD","1.00","USD","-"
