ticker,name,sector,weight,CUSIP,ISIN,SEDOL
A,AGILENT TECHNOLOGIES INC,Health Care,0.06,00846U101,US00846U1016,2520153
AAPL,APPLE INC,Information Technology,6.58,037833100,US0378331005,2046251
ABBV,ABBVIE INC,Health Care,0.69,00287Y109,US00287Y1091,B92SR70
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,0.09,009066101,US0090661010,BMGYYH4
ABT,ABBOTT LABORATORIES,Health Care,0.24,002824100,US0028241000,2002305
ACGL,ARCH CAPITAL GROUP LTD,Financials,0.05,G0450A105,BMG0450A1053,2740542
ACN,ACCENTURE PLC CLASS A,Information Technology,0.12,G1151C101,IE00B4BNMY34,B4BNMY3
ADBE,ADOBE INC,Information Technology,0.13,00724F101,US00724F1012,2008154
ADI,ANALOG DEVICES INC,Information Technology,0.30,032654105,US0326541051,2032067
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,0.06,039483102,US0394831020,2047317
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.14,053015103,US0530151036,2065308
ADSK,AUTODESK INC,Information Technology,0.06,052769106,US0527691069,2065159
AEE,AMEREN CORP,Utilities,0.05,023608102,US0236081024,2050832
AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.12,025537101,US0255371017,2026242
AES,AES CORP,Utilities,0.02,00130H105,US00130H1059,2002479
AFL,AFLAC INC,Financials,0.08,001055102,US0010551028,2026361
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,0.06,026874784,US0268747849,2027342
AIZ,ASSURANT INC,Financials,0.02,04621X108,US04621X1081,2331430
AJG,ARTHUR J GALLAGHER,Financials,0.09,363576109,US3635761097,2359506
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,0.03,00971T101,US00971T1016,2507457
ALB,ALBEMARLE CORP,Materials,0.02,012653101,US0126531013,2046853
ALGN,ALIGN TECHNOLOGY INC,Health Care,0.02,016255101,US0162551016,2679204
ALL,ALLSTATE CORP,Financials,0.09,020002101,US0200021014,2019952
ALLE,ALLEGION PLC,Industrials,0.02,-,IE00BFRT3W74,BFRT3W7
AMAT,APPLIED MATERIAL INC,Information Technology,0.89,038222105,US0382221051,2046552
AMCR,AMCOR PLC,Materials,0.03,-,JE00BV7DQ550,BV7DQ55
AMD,ADVANCED MICRO DEVICES INC,Information Technology,1.47,007903107,US0079031078,2007849
AME,AMETEK INC,Industrials,0.09,031100100,US0311001004,2089212
AMGN,AMGEN INC,Health Care,0.30,031162100,US0311621009,2023607
AMP,AMERIPRISE FINANCE INC,Financials,0.06,03076C106,US03076C1062,B0J7D57
AMT,AMERICAN TOWER REIT CORP,Real Estate,0.12,03027X100,US03027X1000,B7FBFL2
AMZN,AMAZON.COM INC,Consumer Discretionary,3.61,023135106,US0231351067,2000019
ANET,ARISTA NETWORKS INC,Information Technology,0.27,040413205,US0404132054,BL9XPM3
AON,AON PLC CLASS A,Financials,0.11,-,IE00BLP1HW54,BLP1HW5
AOS,A O SMITH CORP,Industrials,0.01,831865209,US8318652091,2816023
APA,APA CORP,Energy,0.02,03743Q108,US03743Q1085,BNNF1C1
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,0.10,009158106,US0091581068,2011602
APH,AMPHENOL CORP CLASS A,Information Technology,0.34,032095101,US0320951017,2145084
