ticker,name,sector,asset_class,weight,isin,cusip,sedol
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,0.06,US00846U1016,00846U101,2520153
AAPL,APPLE INC,Information Technology,Equity,6.70,US0378331005,037833100,2046251
ABBV,ABBVIE,Health Care,Equity,0.66,US00287Y1091,00287Y109,B92SR70
ABNB,AIRBNB CLASS A,Consumer Discretionary,Equity,0.11,US0090661010,009066101,BMGYYH4
ABT,ABBOTT LABORATORIES,Health Care,Equity,0.29,US0028241000,002824100,2002305
ACGL,ARCH CAPITAL GROUP,Financials,Equity,0.05,BMG0450A1053,G0450A105,2740542
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,0.16,IE00B4BNMY34,G1151C101,B4BNMY3
ADBE,ADOBE INC,Information Technology,Equity,0.16,US00724F1012,00724F101,2008154
ADI,ANALOG DEVICES,Information Technology,Equity,0.28,US0326541051,032654105,2032067
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,0.06,US0394831020,039483102,2047317
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.16,US0530151036,053015103,2065308
ADSK,AUTODESK,Information Technology,Equity,0.08,US0527691069,052769106,2065159
AEE,AMEREN,Utilities,Equity,0.05,US0236081024,023608102,2050832
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.10,US0255371017,025537101,2026242
AES,AES,Utilities,Equity,0.02,US00130H1059,00130H105,2002479
AFL,AFLAC,Financials,Equity,0.08,US0010551028,001055102,2026361
AIG,AMERICAN INTERNATIONAL GROUP,Financials,Equity,0.06,US0268747849,026874784,2027342
AIZ,ASSURANT INC,Financials,Equity,0.02,US04621X1081,04621X108,2331430
AJG,ARTHUR J GALLAGHER,Financials,Equity,0.10,US3635761097,363576109,2359506
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,0.03,US00971T1016,00971T101,2507457
ALB,ALBEMARLE CORP,Materials,Equity,0.02,US0126531013,012653101,2046853
ALGN,ALIGN TECHNOLOGY,Health Care,Equity,0.02,US0162551016,016255101,2679204
ALL,ALLSTATE CORP,Financials,Equity,0.10,US0200021014,020002101,2019952
ALLE,ALLEGION PLC,Industrials,Equity,0.02,IE00BFRT3W74,-,BFRT3W7
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,0.60,US0382221051,038222105,2046552
AMCR,AMCOR PLC,Materials,Equity,0.03,JE00BV7DQ550,-,BV7DQ55
AMD,ADVANCED MICRO DEVICES,Information Technology,Equity,1.25,US0079031078,007903107,2007849
AME,AMETEK INC,Industrials,Equity,0.09,US0311001004,031100100,2089212
AMGN,AMGEN INC,Health Care,Equity,0.33,US0311621009,031162100,2023607
AMP,AMERIPRISE FINANCE INC,Financials,Equity,0.08,US03076C1062,03076C106,B0J7D57
