iShares Russell 1000 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"118,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,489,394,864.14","7.14","3,489,394,864.14","16,526,451.00","211.14","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","3,174,548,620.74","6.50","3,174,548,620.74","10,172,879.00","312.06","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,357,899,225.92","4.82","2,357,899,225.92","5,236,983.00","450.24","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,833,219,282.80","3.75","1,833,219,282.80","6,773,645.00","270.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,561,148,128.08","3.19","1,561,148,128.08","4,104,612.00","380.34","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,456,977,730.72","2.98","1,456,977,730.72","3,261,136.00","446.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,258,085,900.93","2.57","1,258,085,900.93","3,342,151.00","376.43","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","975,178,617.60","2.00","975,178,617.60","1,541,760.00","632.51","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","868,284,991.81","1.78","868,284,991.81","1,992,439.00","435.79","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","766,099,580.00","1.57","766,099,580.00","788,980.00","971.00","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","625,102,920.00","1.28","625,102,920.00","565,704.00","1,105.00","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","617,959,905.12","1.26","617,959,905.12","1,302,394.00","474.48","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","586,562,100.80","1.20","586,562,100.80","1,136,528.00","516.10","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","574,154,699.91","1.17","574,154,699.91","1,918,261.00","299.31","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","433,346,168.70","0.89","433,346,168.70","2,983,245.00","145.26","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","387,931,077.60","0.79","387,931,077.60","1,188,660.00","326.36","United States","NYSE","USD","1.00","USD","-"
