iShares Russell 1000 ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,500,154,413.73","7.20","3,500,154,413.73","16,612,817.00","210.69","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","3,047,464,564.48","6.26","3,047,464,564.48","10,226,048.00","298.01","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,997,297,425.20","4.11","1,997,297,425.20","5,264,358.00","379.40","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,664,068,861.69","3.42","1,664,068,861.69","6,809,071.00","244.39","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,521,481,287.69","3.13","1,521,481,287.69","4,134,123.00","368.03","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,348,476,052.20","2.77","1,348,476,052.20","3,278,172.00","411.35","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,239,607,569.54","2.55","1,239,607,569.54","3,373,449.00","367.46","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","899,366,335.01","1.85","899,366,335.01","793,099.00","1,133.99","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","894,586,523.18","1.84","894,586,523.18","1,549,819.00","577.22","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","802,119,394.05","1.65","802,119,394.05","2,002,845.00","400.49","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","640,802,989.84","1.32","640,802,989.84","1,309,204.00","489.46","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","627,120,750.34","1.29","627,120,750.34","1,928,297.00","325.22","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","624,719,407.62","1.28","624,719,407.62","568,666.00","1,098.57","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","614,277,319.66","1.26","614,277,319.66","1,143,118.00","537.37","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","419,670,614.96","0.86","419,670,614.96","3,132,104.00","133.99","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","413,270,002.59","0.85","413,270,002.59","2,998,839.00","137.81","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","391,011,222.24","0.80","391,011,222.24","1,194,876.00","327.24","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","390,124,378.50","0.80","390,124,378.50","1,708,150.00","228.39","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","361,875,979.08","0.74","361,875,979.08","3,088,206.00","117.18","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","347,489,704.12","0.71","347,489,704.12","563,092.00","617.11","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","346,722,563.04","0.71","346,722,563.04","891,226.00","389.04","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","337,727,994.20","0.69","337,727,994.20","2,825,230.00","119.54","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","324,008,473.58","0.67","324,008,473.58","328,669.00","985.82","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","299,759,079.75","0.62","299,759,079.75","315,055.00","951.45","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","279,652,457.56","0.57","279,652,457.56","570,964.00","489.79","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","272,235,958.51","0.56","272,235,958.51","1,257,499.00","216.49","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","264,054,553.00","0.54","264,054,553.00","738,325.00","357.64","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","261,917,009.00","0.54","261,917,009.00","4,660,445.00","56.20","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","258,987,281.28","0.53","258,987,281.28","645,918.00","400.96","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","250,723,761.84","0.52","250,723,761.84","1,667,268.00","150.38","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","242,617,999.68","0.50","242,617,999.68","934,728.00","259.56","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","236,250,718.60","0.49","236,250,718.60","706,745.00","334.28","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","232,780,319.50","0.48","232,780,319.50","3,008,275.00","77.38","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","230,898,382.90","0.47","230,898,382.90","1,329,830.00","173.63","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","228,860,844.48","0.47","228,860,844.48","208,708.00","1,096.56","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","221,730,277.50","0.46","221,730,277.50","101,490.00","2,184.75","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","220,202,776.59","0.45","220,202,776.59","1,194,871.00","184.29","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","219,148,473.56","0.45","219,148,473.56","2,760,404.00","79.39","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","212,656,450.17","0.44","212,656,450.17","191,629.00","1,109.73","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","208,282,797.48","0.43","208,282,797.48","645,118.00","322.86","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","200,771,256.94","0.41","200,771,256.94","1,763,162.00","113.87","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","199,190,679.48","0.41","199,190,679.48","1,550,484.00","128.47","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","197,291,489.60","0.41","197,291,489.60","1,105,894.00","178.40","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","186,616,651.70","0.38","186,616,651.70","600,865.00","310.58","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","180,819,450.00","0.37","180,819,450.00","2,199,750.00","82.20","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","180,142,160.69","0.37","180,142,160.69","241,403.00","746.23","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","179,839,312.80","0.37","179,839,312.80","805,840.00","223.17","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","176,258,566.40","0.36","176,258,566.40","949,669.00","185.60","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","176,124,599.44","0.36","176,124,599.44","1,231,124.00","143.06","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","171,610,706.70","0.35","171,610,706.70","758,970.00","226.11","United States","NASDAQ","USD","1.00","USD","-"
