iShares Russell 1000 ETF
Fund Holdings as of,"Jun 30, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,253,455,196.31","6.72","3,253,455,196.31","16,259,959.00","200.09","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,916,074,012.48","6.03","2,916,074,012.48","10,077,668.00","289.36","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,931,688,173.22","3.99","1,931,688,173.22","5,178,511.00","373.02","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,611,575,951.12","3.33","1,611,575,951.12","6,761,668.00","238.34","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,451,445,389.68","3.00","1,451,445,389.68","4,061,464.00","357.37","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,224,911,037.50","2.53","1,224,911,037.50","3,242,650.00","377.75","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,170,995,332.77","2.42","1,170,995,332.77","3,314,169.00","353.33","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","906,946,430.22","1.87","906,946,430.22","785,718.00","1,154.29","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","863,049,279.82","1.78","863,049,279.82","1,532,158.00","563.29","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","856,422,355.20","1.77","856,422,355.20","2,036,192.00","420.60","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","667,460,005.83","1.38","667,460,005.83","556,481.00","1,199.43","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","658,625,301.62","1.36","658,625,301.62","1,133,782.00","580.91","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","649,531,739.89","1.34","649,531,739.89","1,298,051.00","500.39","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","610,050,812.94","1.26","610,050,812.94","1,863,718.00","327.33","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","426,798,363.94","0.88","426,798,363.94","3,056,638.00","139.63","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","426,557,853.20","0.88","426,557,853.20","1,679,560.00","253.97","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","399,516,063.00","0.83","399,516,063.00","552,581.00","723.00","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","396,598,879.92","0.82","396,598,879.92","2,900,811.00","136.72","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","394,870,858.25","0.82","394,870,858.25","1,150,925.00","343.09","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","377,481,129.61","0.78","377,481,129.61","871,117.00","433.33","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","346,526,218.64","0.72","346,526,218.64","3,059,564.00","113.26","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","337,168,638.00","0.70","337,168,638.00","316,620.00","1,064.90","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","323,474,738.44","0.67","323,474,738.44","2,753,914.00","117.46","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","310,546,155.96","0.64","310,546,155.96","1,234,089.00","251.64","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","289,377,354.33","0.60","289,377,354.33","309,339.00","935.47","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","289,209,700.80","0.60","289,209,700.80","563,103.00","513.60","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","275,163,743.94","0.57","275,163,743.94","912,014.00","301.71","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","269,095,316.98","0.56","269,095,316.98","720,026.00","373.73","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","262,706,631.88","0.54","262,706,631.88","4,610,506.00","56.98","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","261,634,097.44","0.54","261,634,097.44","629,488.00","415.63","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","245,016,671.04","0.51","245,016,671.04","694,728.00","352.68","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","238,401,739.68","0.49","238,401,739.68","1,625,762.00","146.64","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","230,672,182.23","0.48","230,672,182.23","101,451.00","2,273.73","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","221,660,829.50","0.46","221,660,829.50","1,724,987.00","128.50","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","220,457,779.56","0.46","220,457,779.56","187,646.00","1,174.86","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","220,236,742.53","0.46","220,236,742.53","2,709,939.00","81.27","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","214,430,782.72","0.44","214,430,782.72","1,293,622.00","165.76","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","208,881,556.80","0.43","208,881,556.80","2,925,512.00","71.40","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","203,371,336.45","0.42","203,371,336.45","201,085.00","1,011.37","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","196,739,986.82","0.41","196,739,986.82","1,087,502.00","180.91","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","191,799,878.60","0.40","191,799,878.60","562,430.00","341.02","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","188,776,971.17","0.39","188,776,971.17","633,331.00","298.07","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","184,416,674.37","0.38","184,416,674.37","655,797.00","281.21","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","180,969,366.56","0.37","180,969,366.56","607,504.00","297.89","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","180,696,395.94","0.37","180,696,395.94","1,548,782.00","116.67","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","178,239,382.01","0.37","178,239,382.01","939,437.00","189.73","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","176,314,092.80","0.36","176,314,092.80","2,133,520.00","82.64","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","175,181,180.40","0.36","175,181,180.40","1,195,368.00","146.55","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","166,658,618.88","0.34","166,658,618.88","321,152.00","518.94","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","166,070,097.84","0.34","166,070,097.84","1,186,554.00","139.96","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","163,171,398.00","0.34","163,171,398.00","780,575.00","209.04","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","150,613,249.28","0.31","150,613,249.28","854,204.00","176.32","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","150,358,520.32","0.31","150,358,520.32","235,406.00","638.72","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","140,783,565.09","0.29","140,783,565.09","551,163.00","255.43","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","136,380,548.04","0.28","136,380,548.04","376,617.00","362.12","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","135,781,659.31","0.28","135,781,659.31","734,789.00","184.79","United States","NASDAQ","USD","1.00","USD","-"
