ticker,name,sector,asset_class,weight,isin,cusip,sedol
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,0.06,US00846U1016,00846U101,2520153
AA,ALCOA CORP,Materials,Equity,0.02,US0138721065,013872106,BYNF418
AAL,AMERICAN AIRLINES GROUP,Industrials,Equity,0.01,US02376R1023,02376R102,BCV7KT2
AAOI,APPLIED OPTOELECTRONICS,Information Technology,Equity,0.01,US03823U1025,03823U102,BDW0D09
AAON,AAON,Industrials,Equity,0.01,US0003602069,000360206,2268130
AAPL,APPLE,Information Technology,Equity,6.30,US0378331005,037833100,2046251
ABBV,ABBVIE,Health Care,Equity,0.64,US00287Y1091,00287Y109,B92SR70
ABNB,AIRBNB CLASS A,Consumer Discretionary,Equity,0.11,US0090661010,009066101,BMGYYH4
ABT,ABBOTT LABORATORIES,Health Care,Equity,0.27,US0028241000,002824100,2002305
ACGL,ARCH CAPITAL GROUP,Financials,Equity,0.05,BMG0450A1053,G0450A105,2740542
ACI,ALBERTSONS COMPANY CLASS A,Consumer Staples,Equity,0.01,US0130911037,013091103,BYNQ369
ACM,AECOM,Industrials,Equity,0.01,US00766T1007,00766T100,B1VZ431
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,0.15,IE00B4BNMY34,G1151C101,B4BNMY3
ADBE,ADOBE INC,Information Technology,Equity,0.15,US00724F1012,00724F101,2008154
ADC,AGREE REALTY REIT,Real Estate,Equity,0.01,US0084921008,008492100,2062161
ADI,ANALOG DEVICES,Information Technology,Equity,0.26,US0326541051,032654105,2032067
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,0.06,US0394831020,039483102,2047317
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.15,US0530151036,053015103,2065308
ADSK,AUTODESK,Information Technology,Equity,0.07,US0527691069,052769106,2065159
ADT,ADT INC,Consumer Discretionary,Equity,0.01,US00090Q1031,00090Q103,BFWCP81
AEE,AMEREN,Utilities,Equity,0.04,US0236081024,023608102,2050832
AEIS,ADVANCED ENERGY INDUSTRIES,Information Technology,Equity,0.02,US0079731008,007973100,2049175
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.10,US0255371017,025537101,2026242
AES,AES,Utilities,Equity,0.01,US00130H1059,00130H105,2002479
AFG,AMERICAN FINANCIAL GROUP,Financials,Equity,0.01,US0259321042,025932104,2134532
AFL,AFLAC,Financials,Equity,0.08,US0010551028,001055102,2026361
AFRM,AFFIRM HOLDINGS CLASS A,Financials,Equity,0.03,US00827B1061,00827B106,BMF9NM8
