iShares Russell 2000 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"278,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","1,490,507,250.00","1.82","1,490,507,250.00","5,229,850.00","285.00","United States","NYSE","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","911,617,252.82","1.12","911,617,252.82","3,862,294.00","236.03","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","614,361,708.68","0.75","614,361,708.68","713,677.00","860.84","United States","NASDAQ","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","595,244,651.99","0.73","595,244,651.99","8,259,257.00","72.07","United States","NYSE","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","565,708,409.76","0.69","565,708,409.76","864,786.00","654.16","United States","NYSE","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","545,936,252.40","0.67","545,936,252.40","3,490,641.00","156.40","United States","NASDAQ","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","472,259,509.68","0.58","472,259,509.68","24,444,074.00","19.32","United States","NYSE","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","425,620,253.92","0.52","425,620,253.92","2,450,036.00","173.72","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","419,091,455.67","0.51","419,091,455.67","3,243,993.00","129.19","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","385,215,353.82","0.47","385,215,353.82","2,970,278.00","129.69","United States","NASDAQ","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","382,559,883.00","0.47","382,559,883.00","538,665.00","710.20","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","375,961,879.86","0.46","375,961,879.86","2,584,641.00","145.46","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","356,187,060.00","0.44","356,187,060.00","698,406.00","510.00","United States","NYSE","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","349,708,235.49","0.43","349,708,235.49","1,253,839.00","278.91","United States","NYSE","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","339,934,169.68","0.42","339,934,169.68","2,228,492.00","152.54","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","331,635,990.77","0.41","331,635,990.77","1,276,849.00","259.73","United States","NASDAQ","USD","1.00","USD","-"
"PL","PLANET LABS CLASS A","Industrials","Equity","331,489,377.72","0.41","331,489,377.72","6,481,998.00","51.14","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","311,439,818.70","0.38","311,439,818.70","311,439,819.00","1.00","United States","-","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","292,983,749.46","0.36","292,983,749.46","2,347,062.00","124.83","United States","NASDAQ","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","284,259,889.85","0.35","284,259,889.85","1,822,763.00","155.95","United States","NYSE","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","277,553,613.92","0.34","277,553,613.92","4,327,984.00","64.13","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","272,757,942.12","0.33","272,757,942.12","902,634.00","302.18","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","270,383,326.63","0.33","270,383,326.63","15,215,719.00","17.77","United States","NYSE","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","269,125,892.16","0.33","269,125,892.16","5,692,172.00","47.28","United States","NASDAQ","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","268,025,366.08","0.33","268,025,366.08","5,519,468.00","48.56","United States","NASDAQ","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","263,780,457.60","0.32","263,780,457.60","8,751,840.00","30.14","United States","NYSE","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","252,072,662.94","0.31","252,072,662.94","3,235,434.00","77.91","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","251,515,207.58","0.31","251,515,207.58","3,795,883.00","66.26","United States","NASDAQ","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","250,710,506.97","0.31","250,710,506.97","22,812,603.00","10.99","United States","NYSE","USD","1.00","USD","-"
