ticker,name,sector,weight,CUSIP,ISIN,SEDOL
AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,0.06,10948W103,US10948W1036,BJBLBN4
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,0.12,00751Y106,US00751Y1064,2822019
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,0.04,024013104,US0240131047,B3NTLD4
ABAT,AMERICAN BATTERY TECHNOLOGY COMPAN,Materials,0.01,02451V309,US02451V3096,BQC80B4
ABCB,AMERIS BANCORP,Financials,0.18,03076K108,US03076K1088,2038849
ABEO,ABEONA THERAPEUTICS INC,Health Care,0.01,00289Y206,US00289Y2063,BMZ4B74
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,0.12,043436104,US0434361046,2855855
ABM,ABM INDUSTRIES INC,Industrials,0.08,000957100,US0009571003,2024901
ABOS,ACUMEN PHARMACEUTICALS INC,Health Care,0.00,00509G209,US00509G2093,BLR8WK7
ABR,ARBOR REALTY TRUST REIT INC,Financials,0.03,038923108,US0389231087,B00N2S0
ABSI,ABSCI CORP,Health Care,0.05,00091E109,US00091E1091,BN94K69
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,0.02,03879J100,CA03879J1003,BZ0QMB7
ABX,ABACUS GLOBAL MANAGEMENT INC CLASS,Financials,0.01,00258Y104,US00258Y1047,BRK3GP4
ACA,ARCOSA INC,Industrials,0.22,039653100,US0396531008,BGPZ5W8
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,0.10,004225108,US0042251084,2713317
ACCO,ACCO BRANDS CORP,Industrials,0.01,00081T108,US00081T1088,B0G7SZ5
ACDC,PROFRAC HOLDING CLASS A CORP,Energy,0.01,74319N100,US74319N1000,BPCJW03
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,0.02,00436Q106,US00436Q1067,BK7FYL6
ACH,ACCENDRA HEALTH INC,Health Care,0.01,690732102,US6907321029,2665128
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,0.09,00404A109,US00404A1097,B65VZ37
ACHR,ARCHER AVIATION INC CLASS A,Industrials,0.10,03945R102,US03945R1023,BMHVDS8
ACHV,ACHIEVE LIFE SCIENCES INC,Health Care,0.02,004468500,US0044685008,BLD0Z08
ACIC,AMERICAN COASTAL INSURANCE CORP,Financials,0.01,910710102,US9107101027,B292PW7
ACIW,ACI WORLDWIDE INC,Information Technology,0.16,004498101,US0044981019,2889155
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,0.18,054540208,US0545402085,BD420Q8
ACMR,ACM RESEARCH CLASS A INC,Information Technology,0.21,00108J109,US00108J1097,BF5C2N2
ACNB,ACNB CORP,Financials,0.02,000868109,US0008681092,2412012
ACR,ACRES COMMERCIAL REALTY CORP,Financials,0.00,00489Q102,US00489Q1022,BNKTVH1
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,0.01,04013V108,US04013V1089,B77PWP5
ACRS,ACLARIS THERAPEUTICS INC,Health Care,0.02,00461U105,US00461U1051,BYV2W40
