ticker,name,sector,asset_class,weight,isin,cusip,sedol
-,OMNIAB INC $15.00 VESTING  Prvt,Health Care,Equity,0.00,US68218J3014,68218J301,BP0VHL7
-,OMNIAB INC $12.50 VESTING  Prvt,Health Care,Equity,0.00,US68218J2024,68218J202,BP0VHM8
-,ARCELLX INC CVR,Health Care,Equity,0.00,-,039CVR014,SBYJ19F
AAMI,ACADIAN ASSET MANAGEMENT,Financials,Equity,0.09,US10948W1036,10948W103,BJBLBN4
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Equity,0.08,US00751Y1064,00751Y106,2822019
AAT,AMERICAN ASSETS TRUST REIT,Real Estate,Equity,0.04,US0240131047,024013104,B3NTLD4
ABAT,AMERICAN BATTERY TECHNOLOGY COMPAN,Materials,Equity,0.01,US02451V3096,02451V309,BQC80B4
ABCB,AMERIS BANCORP,Financials,Equity,0.18,US03076K1088,03076K108,2038849
ABEO,ABEONA THERAPEUTICS INC,Health Care,Equity,0.01,US00289Y2063,00289Y206,BMZ4B74
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,0.13,US0434361046,043436104,2855855
ABM,ABM INDUSTRIES INC,Industrials,Equity,0.09,US0009571003,000957100,2024901
ABOS,ACUMEN PHARMACEUTICALS INC,Health Care,Equity,0.00,US00509G2093,00509G209,BLR8WK7
ABR,ARBOR REALTY TRUST REIT,Financials,Equity,0.02,US0389231087,038923108,B00N2S0
ABSI,ABSCI CORP,Health Care,Equity,0.04,US00091E1091,00091E109,BN94K69
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,Equity,0.03,CA03879J1003,03879J100,BZ0QMB7
ABX,ABACUS GLOBAL MANAGEMENT INC CLASS,Financials,Equity,0.01,US00258Y1047,00258Y104,BRK3GP4
ACA,ARCOSA,Industrials,Equity,0.23,US0396531008,039653100,BGPZ5W8
ACAD,ACADIA PHARMACEUTICALS,Health Care,Equity,0.12,US0042251084,004225108,2713317
ACCO,ACCO BRANDS CORP,Industrials,Equity,0.01,US00081T1088,00081T108,B0G7SZ5
ACDC,PROFRAC HOLDING CLASS A,Energy,Equity,0.00,US74319N1000,74319N100,BPCJW03
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,Equity,0.02,US00436Q1067,00436Q106,BK7FYL6
ACH,ACCENDRA HEALTH,Health Care,Equity,0.00,US6907321029,690732102,2665128
ACHC,ACADIA HEALTHCARE COMPANY,Health Care,Equity,0.08,US00404A1097,00404A109,B65VZ37
ACHR,ARCHER AVIATION CLASS A,Industrials,Equity,0.12,US03945R1023,03945R102,BMHVDS8
ACHV,ACHIEVE LIFE SCIENCES,Health Care,Equity,0.02,US0044685008,004468500,BLD0Z08
ACIC,AMERICAN COASTAL INSURANCE CORP,Financials,Equity,0.01,US9107101027,910710102,B292PW7
ACIW,ACI WORLDWIDE,Information Technology,Equity,0.18,US0044981019,004498101,2889155
ACLS,AXCELIS TECHNOLOGIES,Information Technology,Equity,0.12,US0545402085,054540208,BD420Q8
ACMR,ACM RESEARCH CLASS A,Information Technology,Equity,0.13,US00108J1097,00108J109,BF5C2N2
ACNB,ACNB CORP,Financials,Equity,0.02,US0008681092,000868109,2412012
ACR,ACRES COMMERCIAL REALTY,Financials,Equity,0.00,US00489Q1022,00489Q102,BNKTVH1
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,Equity,0.01,US04013V1089,04013V108,B77PWP5
ACRS,ACLARIS THERAPEUTICS,Health Care,Equity,0.02,US00461U1051,00461U105,BYV2W40
ACT,ENACT HOLDINGS INC,Financials,Equity,0.05,US29249E1091,29249E109,BNZFTG9
ACTG,ACACIA RESEARCH,Financials,Equity,0.00,US0038813079,003881307,2169589
