iShares Russell 3000 ETF
Fund Holdings as of,"May 29, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,334,776,617.54","6.81","1,334,776,617.54","6,321,761.00","211.14","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,214,339,361.90","6.20","1,214,339,361.90","3,891,365.00","312.06","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","901,952,735.04","4.60","901,952,735.04","2,003,271.00","450.24","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","701,252,056.32","3.58","701,252,056.32","2,591,088.00","270.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","597,174,876.72","3.05","597,174,876.72","1,570,108.00","380.34","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","557,327,257.43","2.84","557,327,257.43","1,247,459.00","446.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","481,245,427.78","2.46","481,245,427.78","1,278,446.00","376.43","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","373,030,995.13","1.90","373,030,995.13","589,763.00","632.51","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","332,137,348.50","1.69","332,137,348.50","762,150.00","435.79","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","292,917,686.00","1.49","292,917,686.00","301,666.00","971.00","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","239,009,290.00","1.22","239,009,290.00","216,298.00","1,105.00","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","236,243,117.52","1.21","236,243,117.52","497,899.00","474.48","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","224,500,919.50","1.15","224,500,919.50","434,995.00","516.10","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","219,694,138.62","1.12","219,694,138.62","734,002.00","299.31","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","165,718,563.66","0.85","165,718,563.66","1,140,841.00","145.26","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","148,300,921.24","0.76","148,300,921.24","454,409.00","326.36","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","146,510,241.99","0.75","146,510,241.99","650,203.00","225.33","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","136,645,119.12","0.70","136,645,119.12","1,191,534.00","114.68","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","135,939,809.50","0.69","135,939,809.50","1,174,426.00","115.75","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","129,557,830.86","0.66","129,557,830.86","1,075,883.00","120.42","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","114,686,676.00","0.59","114,686,676.00","119,925.00","956.32","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","109,507,398.49","0.56","109,507,398.49","125,027.00","875.87","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","107,941,292.28","0.55","107,941,292.28","339,246.00","318.18","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","107,281,588.44","0.55","107,281,588.44","217,178.00","493.98","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","104,201,227.44","0.53","104,201,227.44","478,602.00","217.72","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","102,770,314.62","0.52","102,770,314.62","455,179.00","225.78","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","98,460,642.50","0.50","98,460,642.50","1,144,625.00","86.02","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","96,434,356.20","0.49","96,434,356.20","214,270.00","450.06","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","93,463,084.05","0.48","93,463,084.05","245,755.00","380.31","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","92,336,072.52","0.47","92,336,072.52","506,062.00","182.46","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","92,254,344.36","0.47","92,254,344.36","589,334.00","156.54","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","91,515,954.00","0.47","91,515,954.00","1,773,565.00","51.60","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","91,006,669.68","0.46","91,006,669.68","281,093.00","323.76","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","90,961,912.96","0.46","90,961,912.96","633,616.00","143.56","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","85,208,223.78","0.43","85,208,223.78","268,677.00","317.14","United States","NYSE","USD","1.00","USD","-"
