ticker,name,sector,weight,CUSIP,ISIN,SEDOL
A,AGILENT TECHNOLOGIES INC,Health Care,0.05,00846U101,US00846U1016,2520153
AA,ALCOA CORP,Materials,0.02,013872106,US0138721065,BYNF418
AAL,AMERICAN AIRLINES GROUP INC,Industrials,0.02,02376R102,US02376R1023,BCV7KT2
AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,0.00,10948W103,US10948W1036,BJBLBN4
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,0.02,03823U102,US03823U1025,BDW0D09
AAON,AAON INC,Industrials,0.01,000360206,US0003602069,2268130
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,0.01,00751Y106,US00751Y1064,2822019
AAPL,APPLE INC,Information Technology,5.76,037833100,US0378331005,2046251
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,0.00,024013104,US0240131047,B3NTLD4
ABAT,AMERICAN BATTERY TECHNOLOGY COMPAN,Materials,0.00,02451V309,US02451V3096,BQC80B4
ABBV,ABBVIE INC,Health Care,0.61,00287Y109,US00287Y1091,B92SR70
ABCB,AMERIS BANCORP,Financials,0.01,03076K108,US03076K1088,2038849
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,0.01,043436104,US0434361046,2855855
ABM,ABM INDUSTRIES INC,Industrials,0.00,000957100,US0009571003,2024901
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,0.08,009066101,US0090661010,BMGYYH4
ABR,ARBOR REALTY TRUST REIT INC,Financials,0.00,038923108,US0389231087,B00N2S0
ABSI,ABSCI CORP,Health Care,0.00,00091E109,US00091E1091,BN94K69
ABT,ABBOTT LABORATORIES,Health Care,0.22,002824100,US0028241000,2002305
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,0.00,03879J100,CA03879J1003,BZ0QMB7
ACA,ARCOSA INC,Industrials,0.01,039653100,US0396531008,BGPZ5W8
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,0.00,004225108,US0042251084,2713317
ACCO,ACCO BRANDS CORP,Industrials,0.00,00081T108,US00081T1088,B0G7SZ5
ACDC,PROFRAC HOLDING CLASS A CORP,Energy,0.00,74319N100,US74319N1000,BPCJW03
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,0.00,00436Q106,US00436Q1067,BK7FYL6
ACGL,ARCH CAPITAL GROUP LTD,Financials,0.05,G0450A105,BMG0450A1053,2740542
ACH,ACCENDRA HEALTH INC,Health Care,0.00,690732102,US6907321029,2665128
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,0.00,00404A109,US00404A1097,B65VZ37
ACHR,ARCHER AVIATION INC CLASS A,Industrials,0.00,03945R102,US03945R1023,BMHVDS8
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,0.01,013091103,US0130911037,BYNQ369
ACIC,AMERICAN COASTAL INSURANCE CORP,Financials,0.00,910710102,US9107101027,B292PW7
ACIW,ACI WORLDWIDE INC,Information Technology,0.01,004498101,US0044981019,2889155
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,0.01,054540208,US0545402085,BD420Q8
ACM,AECOM,Industrials,0.01,00766T100,US00766T1007,B1VZ431
ACMR,ACM RESEARCH CLASS A INC,Information Technology,0.01,00108J109,US00108J1097,BF5C2N2
ACN,ACCENTURE PLC CLASS A,Information Technology,0.10,G1151C101,IE00B4BNMY34,B4BNMY3
ACNB,ACNB CORP,Financials,0.00,000868109,US0008681092,2412012
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,0.00,04013V108,US04013V1089,B77PWP5
ACRS,ACLARIS THERAPEUTICS INC,Health Care,0.00,00461U105,US00461U1051,BYV2W40
ACT,ENACT HOLDINGS INC,Financials,0.00,29249E109,US29249E1091,BNZFTG9
ACTG,ACACIA RESEARCH CORP,Financials,0.00,003881307,US0038813079,2169589
ACVA,ACV AUCTIONS INC CLASS A,Industrials,0.00,00091G104,US00091G1040,BMFPJK6
ADAM,ADAMAS INC TRUST,Financials,0.00,649604840,US6496048405,BR4NQJ4
ADBE,ADOBE INC,Information Technology,0.11,00724F101,US00724F1012,2008154
ADC,AGREE REALTY REIT CORP,Real Estate,0.01,008492100,US0084921008,2062161
ADCT,ADC THERAPEUTICS SA,Health Care,0.00,-,CH0499880968,BK6H4Z7
ADEA,ADEIA INC,Information Technology,0.00,00676P107,US00676P1075,BPMQ8J5
ADI,ANALOG DEVICES INC,Information Technology,0.27,032654105,US0326541051,2032067
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,0.05,039483102,US0394831020,2047317
ADMA,ADMA BIOLOGICS INC,Health Care,0.00,000899104,US0008991046,B9NSBM2
ADNT,ADIENT PLC,Consumer Discretionary,0.00,-,IE00BD845X29,BD845X2
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.12,053015103,US0530151036,2065308
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,0.00,00650F109,US00650F1093,BJ5FZ74
ADRO,CHINOOK THERAPEUTICS INC,Health Care,0.00,169CVR016,US169CVR0169,2LG7KJ9
ADRO,CHINOOK THERAPEUTICS INC CVR,Health Care,0.00,007CVR012,US007CVR0124,-
ADSK,AUTODESK INC,Information Technology,0.06,052769106,US0527691069,2065159
ADT,ADT INC,Consumer Discretionary,0.00,00090Q103,US00090Q1031,BFWCP81
ADTN,ADTRAN HOLDINGS INC,Information Technology,0.00,00486H105,US00486H1059,BPLJ828
ADUS,ADDUS HOMECARE CORP,Health Care,0.00,006739106,US0067391062,B55BN47
ADV,ADVANTAGE SOLUTIONS INC CLASS A,Communication,0.00,00791N201,US00791N2018,BTZS1P3
AEBI,AEBI SCHMIDT HOLDING AG,Industrials,0.00,-,CH0027352993,BRJHSC8
AEE,AMEREN CORP,Utilities,0.04,023608102,US0236081024,2050832
AEHR,AEHR TEST SYSTEMS,Information Technology,0.00,00760J108,US00760J1088,2096977
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,0.02,007973100,US0079731008,2049175
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,0.00,02553E106,US02553E1064,2048592
AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.10,025537101,US0255371017,2026242
AES,AES CORP,Utilities,0.01,00130H105,US00130H1059,2002479
AESI,ATLAS ENERGY SOLUTIONS INC,Energy,0.00,642045108,US6420451089,BL6JGD2
AEVA,AEVA TECHNOLOGIES INC,Information Technology,0.00,00835Q202,US00835Q2021,BSB8D21
AFG,AMERICAN FINANCIAL GROUP INC,Financials,0.01,025932104,US0259321042,2134532
AFL,AFLAC INC,Financials,0.07,001055102,US0010551028,2026361
AFRI,FORAFRIC GLOBAL PLC,Consumer Staples,0.00,-,GI000A3DNK69,BMY3785
AFRM,AFFIRM HOLDINGS INC CLASS A,Financials,0.03,00827B106,US00827B1061,BMF9NM8
AGCO,AGCO CORP,Industrials,0.01,001084102,US0010841023,2010278
AGIO,AGIOS PHARMACEUTICALS INC,Health Care,0.00,00847X104,US00847X1046,BCBVTX1
AGL,AGILON HEALTH,Health Care,0.00,00857U206,US00857U2069,BWBR5L9
AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,0.00,313148306,US3131483063,2363381
AGNC,AGNC INVESTMENT REIT CORP,Financials,0.02,00123Q104,US00123Q1040,BYYHJL8
AGNT,AGNT INC,Real Estate,0.00,30212W100,US30212W1009,BDH2902
AGO,ASSURED GUARANTY LTD,Financials,0.01,G0585R106,BMG0585R1060,B00V7H8
AGX,ARGAN INC,Industrials,0.01,04010E109,US04010E1091,2804501
AGYS,AGILYSYS INC,Information Technology,0.00,00847J105,US00847J1051,2689162
AHCO,ADAPTHEALTH CORP,Health Care,0.00,00653Q102,US00653Q1022,BKDRF35
