ticker,name,sector,asset_class,weight,isin,cusip,sedol
-,ARCELLX INC CVR,Health Care,Equity,0.00,-,039CVR014,SBYJ19F
-,OMNIAB INC $12.50 VESTING  Prvt,Health Care,Equity,0.00,US68218J2024,68218J202,BP0VHM8
-,OMNIAB INC $15.00 VESTING  Prvt,Health Care,Equity,0.00,US68218J3014,68218J301,BP0VHL7
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,0.06,US00846U1016,00846U101,2520153
AA,ALCOA CORP,Materials,Equity,0.02,US0138721065,013872106,BYNF418
AAL,AMERICAN AIRLINES GROUP,Industrials,Equity,0.01,US02376R1023,02376R102,BCV7KT2
AAMI,ACADIAN ASSET MANAGEMENT,Financials,Equity,0.00,US10948W1036,10948W103,BJBLBN4
AAOI,APPLIED OPTOELECTRONICS,Information Technology,Equity,0.01,US03823U1025,03823U102,BDW0D09
AAON,AAON,Industrials,Equity,0.01,US0003602069,000360206,2268130
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Equity,0.00,US00751Y1064,00751Y106,2822019
AAPL,APPLE,Information Technology,Equity,6.04,US0378331005,037833100,2046251
AAT,AMERICAN ASSETS TRUST REIT,Real Estate,Equity,0.00,US0240131047,024013104,B3NTLD4
ABAT,AMERICAN BATTERY TECHNOLOGY COMPAN,Materials,Equity,0.00,US02451V3096,02451V309,BQC80B4
ABBV,ABBVIE,Health Care,Equity,0.63,US00287Y1091,00287Y109,B92SR70
ABCB,AMERIS BANCORP,Financials,Equity,0.01,US03076K1088,03076K108,2038849
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,0.01,US0434361046,043436104,2855855
ABM,ABM INDUSTRIES INC,Industrials,Equity,0.00,US0009571003,000957100,2024901
ABNB,AIRBNB CLASS A,Consumer Discretionary,Equity,0.10,US0090661010,009066101,BMGYYH4
ABR,ARBOR REALTY TRUST REIT,Financials,Equity,0.00,US0389231087,038923108,B00N2S0
ABSI,ABSCI CORP,Health Care,Equity,0.00,US00091E1091,00091E109,BN94K69
ABT,ABBOTT LABORATORIES,Health Care,Equity,0.27,US0028241000,002824100,2002305
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,Equity,0.00,CA03879J1003,03879J100,BZ0QMB7
ACA,ARCOSA,Industrials,Equity,0.01,US0396531008,039653100,BGPZ5W8
ACAD,ACADIA PHARMACEUTICALS,Health Care,Equity,0.01,US0042251084,004225108,2713317
ACCO,ACCO BRANDS CORP,Industrials,Equity,0.00,US00081T1088,00081T108,B0G7SZ5
ACDC,PROFRAC HOLDING CLASS A,Energy,Equity,0.00,US74319N1000,74319N100,BPCJW03
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,Equity,0.00,US00436Q1067,00436Q106,BK7FYL6
ACGL,ARCH CAPITAL GROUP,Financials,Equity,0.05,BMG0450A1053,G0450A105,2740542
ACH,ACCENDRA HEALTH,Health Care,Equity,0.00,US6907321029,690732102,2665128
ACHC,ACADIA HEALTHCARE COMPANY,Health Care,Equity,0.00,US00404A1097,00404A109,B65VZ37
ACHR,ARCHER AVIATION CLASS A,Industrials,Equity,0.01,US03945R1023,03945R102,BMHVDS8
ACHV,ACHIEVE LIFE SCIENCES,Health Care,Equity,0.00,US0044685008,004468500,BLD0Z08
ACI,ALBERTSONS COMPANY CLASS A,Consumer Staples,Equity,0.01,US0130911037,013091103,BYNQ369
ACIC,AMERICAN COASTAL INSURANCE CORP,Financials,Equity,0.00,US9107101027,910710102,B292PW7
ACIW,ACI WORLDWIDE,Information Technology,Equity,0.01,US0044981019,004498101,2889155
ACLS,AXCELIS TECHNOLOGIES,Information Technology,Equity,0.01,US0545402085,054540208,BD420Q8
ACM,AECOM,Industrials,Equity,0.01,US00766T1007,00766T100,B1VZ431
ACMR,ACM RESEARCH CLASS A,Information Technology,Equity,0.01,US00108J1097,00108J109,BF5C2N2
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,0.15,IE00B4BNMY34,G1151C101,B4BNMY3
ACNB,ACNB CORP,Financials,Equity,0.00,US0008681092,000868109,2412012
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,Equity,0.00,US04013V1089,04013V108,B77PWP5
ACRS,ACLARIS THERAPEUTICS,Health Care,Equity,0.00,US00461U1051,00461U105,BYV2W40
ACT,ENACT HOLDINGS INC,Financials,Equity,0.00,US29249E1091,29249E109,BNZFTG9
ACTG,ACACIA RESEARCH,Financials,Equity,0.00,US0038813079,003881307,2169589
ACVA,ACV AUCTIONS CLASS A,Industrials,Equity,0.00,US00091G1040,00091G104,BMFPJK6
ADAM,ADAMAS,Financials,Equity,0.00,US6496048405,649604840,BR4NQJ4
ADBE,ADOBE INC,Information Technology,Equity,0.15,US00724F1012,00724F101,2008154
ADC,AGREE REALTY REIT,Real Estate,Equity,0.01,US0084921008,008492100,2062161
ADCT,ADC THERAPEUTICS SA,Health Care,Equity,0.00,CH0499880968,-,BK6H4Z7
ADEA,ADEIA,Information Technology,Equity,0.00,US00676P1075,00676P107,BPMQ8J5
ADI,ANALOG DEVICES,Information Technology,Equity,0.25,US0326541051,032654105,2032067
ADIG,ADI GLOBAL DISTRIBUTION,Information Technology,Equity,0.00,US0010261032,001026103,BWL8631
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,0.05,US0394831020,039483102,2047317
ADMA,ADMA BIOLOGICS,Health Care,Equity,0.00,US0008991046,000899104,B9NSBM2
ADNT,ADIENT PLC,Consumer Discretionary,Equity,0.00,IE00BD845X29,-,BD845X2
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.15,US0530151036,053015103,2065308
ADPT,ADAPTIVE BIOTECHNOLOGIES,Health Care,Equity,0.01,US00650F1093,00650F109,BJ5FZ74
ADRO,CHINOOK THERAPEUTICS INC CVR,Health Care,Equity,0.00,US007CVR0124,007CVR012,-
ADRO,CHINOOK THERAPEUTICS INC,Health Care,Equity,0.00,US169CVR0169,169CVR016,2LG7KJ9
ADSK,AUTODESK,Information Technology,Equity,0.07,US0527691069,052769106,2065159
ADT,ADT INC,Consumer Discretionary,Equity,0.01,US00090Q1031,00090Q103,BFWCP81
ADTN,ADTRAN HOLDINGS INC,Information Technology,Equity,0.00,US00486H1059,00486H105,BPLJ828
ADUS,ADDUS HOMECARE CORP,Health Care,Equity,0.00,US0067391062,006739106,B55BN47
ADV,ADVANTAGE SOLUTIONS CLASS A,Communication,Equity,0.00,US00791N2018,00791N201,BTZS1P3
AEBI,AEBI SCHMIDT HOLDING AG,Industrials,Equity,0.00,CH0027352993,-,BRJHSC8
AEE,AMEREN,Utilities,Equity,0.04,US0236081024,023608102,2050832
AEHR,AEHR TEST SYSTEMS,Information Technology,Equity,0.00,US00760J1088,00760J108,2096977
AEIS,ADVANCED ENERGY INDUSTRIES,Information Technology,Equity,0.01,US0079731008,007973100,2049175
AEO,AMERICAN EAGLE OUTFITTERS,Consumer Discretionary,Equity,0.00,US02553E1064,02553E106,2048592
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.09,US0255371017,025537101,2026242
AES,AES,Utilities,Equity,0.01,US00130H1059,00130H105,2002479
AESI,ATLAS ENERGY SOLUTIONS,Energy,Equity,0.00,US6420451089,642045108,BL6JGD2
AEVA,AEVA TECHNOLOGIES INC,Information Technology,Equity,0.00,US00835Q2021,00835Q202,BSB8D21
AFG,AMERICAN FINANCIAL GROUP,Financials,Equity,0.01,US0259321042,025932104,2134532
AFL,AFLAC,Financials,Equity,0.07,US0010551028,001055102,2026361
AFRI,FORAFRIC GLOBAL PLC,Consumer Staples,Equity,0.00,GI000A3DNK69,-,BMY3785
AFRM,AFFIRM HOLDINGS CLASS A,Financials,Equity,0.03,US00827B1061,00827B106,BMF9NM8
AGCO,AGCO,Industrials,Equity,0.01,US0010841023,001084102,2010278
AGIO,AGIOS PHARMACEUTICALS,Health Care,Equity,0.00,US00847X1046,00847X104,BCBVTX1
AGL,AGILON HEALTH,Health Care,Equity,0.00,US00857U2069,00857U206,BWBR5L9
AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,Equity,0.00,US3131483063,313148306,2363381
AGNC,AGNC INVESTMENT REIT,Financials,Equity,0.02,US00123Q1040,00123Q104,BYYHJL8
AGNT,AGNT INC,Real Estate,Equity,0.00,US30212W1009,30212W100,BDH2902
AGO,ASSURED GUARANTY LTD,Financials,Equity,0.00,BMG0585R1060,G0585R106,B00V7H8
AGX,ARGAN,Industrials,Equity,0.01,US04010E1091,04010E109,2804501
AGYS,AGILYSYS INC,Information Technology,Equity,0.00,US00847J1051,00847J105,2689162
AHCO,ADAPTHEALTH,Health Care,Equity,0.00,US00653Q1022,00653Q102,BKDRF35
AHR,AMERICAN HEALTHCARE REIT,Real Estate,Equity,0.01,US3981823038,398182303,BQWNKQ4
AHRT,AH REALTY INC,Real Estate,Equity,0.00,US04208T1088,04208T108,B96FTB5
AI,C3 AI INC CLASS A,Information Technology,Equity,0.00,US12468P1049,12468P104,BMGNBJ2
AIG,AMERICAN INTERNATIONAL GROUP,Financials,Equity,0.05,US0268747849,026874784,2027342
AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,Equity,0.00,US0123481089,012348108,2012757
AIOT,POWERFLEET,Information Technology,Equity,0.00,US73931J1097,73931J109,BKLX9J9
AIP,ARTERIS INC,Information Technology,Equity,0.00,US04302A1043,04302A104,BMG97J2
AIR,AAR,Industrials,Equity,0.01,US0003611052,000361105,2001119
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Equity,0.02,US03820C1053,03820C105,2086309
AIZ,ASSURANT INC,Financials,Equity,0.02,US04621X1081,04621X108,2331430
AJG,ARTHUR J GALLAGHER,Financials,Equity,0.09,US3635761097,363576109,2359506
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,0.02,US00971T1016,00971T101,2507457
AKBA,AKEBIA THERAPEUTICS INC,Health Care,Equity,0.00,US00972D1054,00972D105,BKKMP44
AKE,AKERO THERAPEUTICS CVR,Health Care,Equity,0.00,-,009CVR044,99WS1U9
AKR,ACADIA REALTY TRUST REIT,Real Estate,Equity,0.00,US0042391096,004239109,2566522
AKTS,AKTIS ONCOLOGY INC,Health Care,Equity,0.00,US01021M1045,01021M104,BTZC360
ALAB,ASTERA LABS,Information Technology,Equity,0.06,US04626A1034,04626A103,BMTQ7V2
ALB,ALBEMARLE CORP,Materials,Equity,0.02,US0126531013,012653101,2046853
ALEC,ALECTOR,Health Care,Equity,0.00,US0144421072,014442107,BJ4LDC4
